"other"	"cause"	"lowerLegs"	"dorsum"	"remark"	"taskid"	"score"	"parentId"	"date"	"QCStateLabel"	"Id"	"rump"	"performedby"	"Description"	"upperLegs"	"head"	"hips"	"lowerArms"	"shoulders"	"project"	"account"	"upperArms"	"enddate"	"requestid"
"No"	""	"No"	"No"	""	"4b7cce82-aa42-102e-b651-f528764dd3a5"	""	"4b7cce81-aa42-102e-b651-f528764dd3a5"	"2011-07-11 09:30:00.0"	"Completed"	"test3771679"	"No"	"mharke"	""	"No"	"No"	"No"	"No"	"No"	"803932"	""	"No"	""	""
"No"	"Behavioral"	"No"	"Yes"	""	"4b7cd39a-aa42-102e-b651-f528764dd3a5"	"3.0"	"4b7cd399-aa42-102e-b651-f528764dd3a5"	"2011-07-11 09:30:00.0"	"Completed"	"test4037096"	"No"	"mharke"	"porta potenti sed ac vel porta eu hendrerit"	"No"	"Yes"	"Yes"	"No"	"Yes"	"803932"	""	"No"	""	""
"No"	"Behavioral"	"Yes"	"Yes"	"mollis vehicula"	"a97bd0f3-b548-102e-b2c9-f528764d87d0"	"2.0"	"a97bd0f2-b548-102e-b2c9-f528764d87d0"	"2011-07-20 10:15:00.0"	"Completed"	"test1112911"	"No"	"mharke"	"eu neque erat quam porttitor ut amet"	"No"	"No"	"No"	"No"	"No"	"803932"	""	"No"	""	""
"No"	"Behavioral"	"Yes"	"No"	""	"a97bd271-b548-102e-b2c9-f528764d87d0"	"1.0"	"a97bd270-b548-102e-b2c9-f528764d87d0"	"2011-07-20 10:00:00.0"	"Completed"	"test727088"	"No"	"mharke"	"mauris ut vivamus suscipit lectus a vitae"	"No"	"No"	"No"	"No"	"Yes"	"803932"	""	"No"	""	""
"No"	"Medical"	"No"	"No"	"pulvinar laoreet odio ut euismod turpis"	"a97bcef8-b548-102e-b2c9-f528764d87d0"	"1.0"	"a97bcef7-b548-102e-b2c9-f528764d87d0"	"2011-07-20 10:15:00.0"	"Completed"	"test3224553"	"No"	"mharke"	"risus tristique consequat eu id pretium"	"No"	"Yes"	"No"	"No"	"No"	"803932"	""	"No"	""	""
"No"	"Unknown"	"Yes"	"No"	""	"a97bd7b7-b548-102e-b2c9-f528764d87d0"	"3.0"	"a97bd7b6-b548-102e-b2c9-f528764d87d0"	"2011-07-20 10:00:00.0"	"Completed"	"test3621582"	"No"	"mharke"	"vitae tincidunt non phasellus scelerisque"	"No"	"Yes"	"No"	"No"	"No"	"803932"	""	"Yes"	""	""
"No"	""	"No"	"No"	""	"11fe84a1-b0f0-102e-8fcd-f528764d9ad7"	""	"11fe84a0-b0f0-102e-8fcd-f528764d9ad7"	"2011-07-06 09:49:00.0"	"Completed"	"test6700530"	"No"	"jcoonen"	""	"No"	"No"	"No"	"No"	"No"	"803932"	""	"No"	""	""
"No"	""	"No"	"No"	""	"11fe82d1-b0f0-102e-8fcd-f528764d9ad7"	""	"11fe82d0-b0f0-102e-8fcd-f528764d9ad7"	"2011-07-06 09:46:00.0"	"Completed"	"test6208376"	"No"	"jcoonen"	""	"No"	"No"	"No"	"No"	"No"	"803932"	""	"No"	""	""
"No"	"Medical"	"No"	"No"	""	"883f199b-c807-102e-8f24-48cf881babba"	"1.0"	"883f199a-c807-102e-8f24-48cf881babba"	"2011-09-21 11:21:00.0"	"Completed"	"test6208376"	"No"	"jcoonen"	"purus sed venenatis magna sem ullamcorper"	"No"	"Yes"	"No"	"No"	"No"	"803932"	""	"No"	""	""
"No"	""	"No"	"No"	""	"11fe9921-b0f0-102e-8fcd-f528764d9ad7"	""	"11fe9920-b0f0-102e-8fcd-f528764d9ad7"	"2011-07-06 08:59:00.0"	"Completed"	"test9195996"	"No"	"jcoonen"	""	"No"	"No"	"No"	"No"	"No"	"803932"	""	"No"	""	""
"No"	""	"No"	"No"	""	"883f27d1-c807-102e-8f24-48cf881babba"	"0.0"	"883f27d0-c807-102e-8f24-48cf881babba"	"2011-09-21 11:09:00.0"	"Completed"	"test9195996"	"No"	"jcoonen"	""	"No"	"No"	"No"	"No"	"No"	"803932"	""	"No"	""	""
"No"	""	"No"	"No"	""	"11fe9787-b0f0-102e-8fcd-f528764d9ad7"	""	"11fe9786-b0f0-102e-8fcd-f528764d9ad7"	"2011-07-06 08:59:00.0"	"Completed"	"test8976544"	"No"	"jcoonen"	""	"No"	"No"	"No"	"No"	"No"	"803932"	""	"No"	""	""
"No"	""	"No"	"No"	""	"4ac3bc5d-c7ea-102e-8f24-48cf881babba"	"0.0"	"4ac3bc5c-c7ea-102e-8f24-48cf881babba"	"2011-09-21 11:01:00.0"	"Completed"	"test8976544"	"No"	"jcoonen"	""	"No"	"No"	"No"	"No"	"No"	"803932"	""	"No"	""	""
"No"	""	"No"	"No"	""	"9e3b8fe0-aa74-102e-b651-f528764dd3a5"	"1.0"	"9e3b8fdf-aa74-102e-b651-f528764dd3a5"	"2011-07-06 09:02:00.0"	"Completed"	"test3844307"	"No"	"cfitz"	"molestie vitae nam"	"No"	"No"	"No"	"No"	"No"	"803932"	"6393464"	"No"	""	""
"No"	"Behavioral"	"Yes"	"Yes"	""	"b629f88f-a105-102e-bc38-f528764d1486"	"2.0"	"b629f88e-a105-102e-bc38-f528764d1486"	"2011-07-22 09:15:00.0"	"Completed"	"test2312318"	"No"	"kflemmen"	"augue at lorem condimentum rutrum in"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"803932"	"6393464"	"Yes"	""	""
