"ts"	"remark"	"taskid"	"userid"	"lastAdministered"	"qualifier"	"parentId"	"frequency"	"date"	"dosage_units"	"vol_units"	"QCStateLabel"	"amount"	"Id"	"performedby"	"Description"	"concentration"	"dosage"	"code"	"meaning"	"conc_units"	"project"	"amount_units"	"route"	"volume"	"account"	"requestid"	"enddate"
"2011-03-01 15:36:39.0"	""	""	"2034725"	""	""	""	"1"	"2011-03-01 00:00:00.0"	""	"mL"	"Completed"	"0.405"	"test5171727"	"tomczak"	"etiam eget donec dictum hendrerit laoreet nec conubia ipsum suscipit et vitae dictum rutrum cursus et magna sollicitudin odio justo curabitur nibh lorem vivamus et a in at non neque duis fringilla"	"1.5"	""	"c-60432"	"Meloxicam (oral suspension) (Metacam)"	"mg/mL"	"803932"	"mg"	"oral"	"0.27"	""	""	"2011-03-03 00:00:00.0"
"2011-03-04 15:29:05.0"	""	""	"3079426"	""	""	""	"1"	"2011-03-05 00:00:00.0"	""	"mL"	"Completed"	"0.405"	"test5171727"	"jbacon"	"viverra feugiat sodales egestas non egestas pulvinar senectus augue in adipiscing praesent dui sit dis sed a et odio aliquam auctor nunc justo velit sit fringilla libero non eget ligula commodo"	"1.5"	""	"c-60432"	"Meloxicam (oral suspension) (Metacam)"	"mg/mL"	"803932"	"mg"	"oral"	"0.27"	""	""	"2011-03-06 00:00:00.0"
"2010-05-24 14:37:37.0"	""	""	"4832768"	""	""	""	"1"	"2010-05-25 00:00:00.0"	""	"mL"	"Completed"	"0.255"	"test2950014"	"aschara"	"eleifend commodo consectetur eleifend accumsan quisque interdum et vitae ut nec sit elementum rutrum nam imperdiet bibendum vel et vehicula nec sollicitudin auctor id dolor turpis a integer"	"1.5"	""	"c-60432"	"meloxicam (oral suspension) (metacam)"	"mg/mL"	"803932"	"mg"	"oral"	"0.17"	""	""	"2010-05-26 00:00:00.0"
"2011-01-19 08:22:49.0"	"hendrerit"	""	"4256048"	""	""	""	"4"	"2011-01-19 00:00:00.0"	""	"piece(s)"	"Completed"	"0.0"	"test2950014"	"slarson"	"erat velit eget suscipit pellentesque ut tincidunt sit quam quis convallis penatibus leo quisque vel ac quis"	"0.0"	""	"c-f0000"	"Supplemental Food"	""	"803932"	""	"oral"	"10.0"	""	""	"2011-01-19 00:00:00.0"
"2011-01-19 15:47:56.0"	""	""	"2034725"	""	""	""	"1"	"2011-01-20 00:00:00.0"	""	"mL"	"Completed"	"130.0"	"test2950014"	"tomczak"	"fusce porttitor mauris euismod mauris ut rutrum integer nisi purus sit ac iaculis mauris arcu lectus sodales quis neque condimentum gravida porta fames lacus"	"100.0"	""	"c-52040"	"Metronidazole (Flagyl)"	"mg/mL"	"803932"	"mg"	"oral"	"1.3"	""	""	"2011-01-29 00:00:00.0"
"2011-01-21 10:34:08.0"	"congue vestibulum"	""	"2034725"	""	""	""	"2"	"2011-01-20 00:00:00.0"	""	"piece(s)"	"Completed"	"0.0"	"test2950014"	"tomczak"	"non sed non fringilla faucibus vulputate convallis at amet non vulputate gravida non proin magnis quisque malesuada"	"0.0"	""	"c-f0000"	"Supplemental Food"	""	"803932"	""	"oral"	"10.0"	""	""	"2011-01-21 00:00:00.0"
"2011-04-06 15:34:28.0"	"lorem id quis blandit nulla fermentum"	""	"2034725"	""	""	""	"2"	"2011-01-21 00:00:00.0"	""	""	"Completed"	"0.0"	"test2950014"	"tomczak"	"pretium parturient sollicitudin venenatis curabitur libero lectus massa nec nisi lectus"	"0.0"	""	"c-f0000"	"Supplemental Food"	""	"803932"	""	"oral"	"0.0"	""	""	"2011-04-06 00:00:00.0"
"2011-01-25 10:01:51.0"	"suspendisse quis quisque nec malesuada laoreet amet pellentesque a vehicula quis tellus lacinia"	""	"4256048"	""	"Tylosin tartrate (Tylan)"	""	"1"	"2011-01-26 00:00:00.0"	""	"tsp"	"Completed"	"325.0"	"test2950014"	"slarson"	"morbi tellus mus lectus dictum nisi in in conubia eget sociis neque lacus morbi at massa donec rutrum porta dignissim pretium mus purus nunc euismod aliquam amet pellentesque"	"2600.0"	""	"c-52340"	"Tylosin tartrate (Tylan)"	"mg/tsp"	"803932"	"mg"	"oral"	"0.125"	""	""	"2011-07-18 00:00:00.0"
"2011-04-07 08:09:02.0"	"scelerisque risus amet id tempor elit sapien aliquet et pellentesque sit egestas vitae sed semper nibh porttitor viverra libero cursus leo"	""	"2034725"	""	""	""	"1"	"2011-01-26 00:00:00.0"	""	"tablet(s)"	"Completed"	"0.0"	"test2950014"	"tomczak"	"tellus metus diam lectus nec fermentum ipsum eleifend odio congue at suscipit sollicitudin porttitor nulla in tellus feugiat sapien lobortis pellentesque lorem mi morbi turpis urna amet sed risus tempor"	"0.0"	""	"w-10222"	"Lactobacillus acidophilus/reuteri/rhomnosus (Primadophilus)"	""	"803932"	""	"oral"	"1.0"	""	""	"2011-04-07 00:00:00.0"
"2011-04-06 15:34:58.0"	""	""	"2034725"	""	"PB Sand / Fig Newton / Fruit"	""	"2"	"2011-04-07 00:00:00.0"	""	"piece(s)"	"Completed"	"0.0"	"test2950014"	"tomczak"	"egestas nec faucibus morbi quis mauris sociosqu malesuada donec id pretium et quis ligula ac dui praesent ut morbi quis fringilla et elit rhoncus urna"	"0.0"	""	"c-f0000"	"Supp Food - PB Sand / Fig Newton / Fruit"	""	"803932"	""	"oral"	"1.0"	""	""	"2011-07-18 00:00:00.0"
"2011-04-07 08:11:12.0"	""	""	"2034725"	""	"Primadophilus chewable tablet"	""	"1"	"2011-04-08 00:00:00.0"	""	"tablet(s)"	"Completed"	"0.0"	"test2950014"	"tomczak"	"at mi elementum tristique augue parturient venenatis amet enim  felis et auctor lacinia pretium orci enim in non blandit donec cursus pretium nec praesent nulla iaculis"	"0.0"	""	"f-61e1f"	"Probiotic (Primadophilus chewable tablet)"	""	"803932"	""	"oral"	"1.0"	""	""	"2011-07-18 00:00:00.0"
""	""	"783986f1-b61a-102e-8f94-f528764de2a0"	""	""	""	""	"1"	"2011-09-01 00:00:00.0"	"mg/kg"	"mL"	"Completed"	"0.465"	"test4710248"	"tomczak"	"ante vel velit posuere cras a nisl a hendrerit sapien vivamus sagittis dolor ac sed id dignissim nec in sed ut eu integer  suscipit lobortis nec urna in non ultricies donec nec faucibus elementum eget tincidunt proin felis at"	"1.5"	"0.1"	"c-60432"	"Meloxicam (oral suspension) (Metacam)"	"mg/mL"	"803932"	"mg"	"oral"	"0.31"	"6393464"	""	"2011-09-02 00:00:00.0"
""	""	"45a4e231-b6e2-102e-8f94-f528764de2a0"	""	""	""	""	"1"	"2011-09-02 00:00:00.0"	"mg/kg"	"mL"	"Completed"	"0.48"	"test3935154"	"tomczak"	"urna massa venenatis ipsum eleifend mauris eu non pretium cursus vitae felis nascetur ipsum sed sodales aliquet orci suspendisse faucibus at tellus quis ut pretium orci faucibus at eu nulla cursus et urna elit  lacinia nam accumsan"	"1.5"	"0.1"	"c-60432"	"Meloxicam (oral suspension) (Metacam)"	"mg/mL"	"803932"	"mg"	"oral"	"0.32"	"6393464"	""	"2011-09-05 00:00:00.0"
""	""	"22e41b02-bac6-102e-89c9-f528764db637"	""	""	""	""	"1"	"2011-09-07 00:00:00.0"	"mg/kg"	"mL"	"Completed"	"0.48"	"test3935154"	"tomczak"	"lacus orci massa ligula at sed aliquet turpis vestibulum urna vitae elementum donec nisl amet purus dolor integer odio egestas ultrices sodales sem luctus faucibus vel consectetur diam tincidunt ac nec interdum potenti blandit"	"1.5"	"0.1"	"c-60432"	"Meloxicam (oral suspension) (Metacam)"	"mg/mL"	"803932"	"mg"	"oral"	"0.32"	"6393464"	""	"2011-09-08 00:00:00.0"
"2010-05-24 14:37:37.0"	""	""	"4832768"	""	""	""	"4"	"2009-11-02 00:00:00.0"	""	"mL"	"Completed"	"0.5619"	"test4935165"	"aschara"	"in ultricies aliquet erat iaculis ac donec euismod nec nec auctor et torquent consectetur purus luctus feugiat euismod nunc odio odio donec eget metus vestibulum dictum laoreet facilisis quis"	"1.5"	""	"c-60432"	"meloxicam (oral suspension) (metacam)"	"mg/mL"	"803932"	"mg"	"oral"	"0.3746"	""	""	"2009-11-02 00:00:00.0"
"2010-05-24 14:37:37.0"	""	""	"4832768"	""	""	""	"1"	"2009-11-03 00:00:00.0"	""	"mL"	"Completed"	"0.281"	"test4935165"	"aschara"	"vel sit sagittis  ante nec elementum proin egestas integer luctus tristique consectetur ac libero suspendisse vestibulum adipiscing turpis neque tellus sed iaculis orci sagittis vel cras consectetur"	"1.5"	""	"c-60432"	"meloxicam (oral suspension) (metacam)"	"mg/mL"	"803932"	"mg"	"oral"	"0.1873"	""	""	"2009-11-04 00:00:00.0"
"2010-06-25 16:17:23.0"	""	""	"6339563"	""	""	""	"2"	"2010-06-26 00:00:00.0"	""	"mL"	"Completed"	"60.0"	"test3843301"	"mharke"	"varius magna magna fringilla penatibus amet sed  tortor morbi interdum hac mi elementum luctus eleifend et purus justo nascetur curabitur"	"50.0"	""	"c-53130"	"cephalexin"	"mg/mL"	"803932"	"mg"	"oral"	"1.2"	""	""	"2010-07-02 00:00:00.0"
"2010-05-24 14:37:37.0"	""	""	""	""	""	""	"1"	"2009-08-27 00:00:00.0"	""	"mL"	"Completed"	"0.15"	"test7407382"	""	"suscipit orci in amet consectetur turpis non ipsum nam dapibus luctus vitae bibendum vel velit ante lorem laoreet ullamcorper nascetur nam amet eget et cum sit nisl porta id"	"5.0"	""	"c-60431"	"meloxicam (injectable) (metacam)"	"mg/mL"	"803932"	"mg"	"SQ"	"0.03"	""	""	"2009-08-28 00:00:00.0"
"2010-05-24 14:37:37.0"	""	""	""	""	"Penicillin"	""	"1"	"2009-08-27 00:00:00.0"	""	"mL"	"Completed"	"75000.0"	"test7407382"	""	"consectetur diam risus in molestie ligula orci nunc interdum mauris molestie turpis in nulla a feugiat vel vitae ante donec eros ut dapibus blandit sem dolor et est iaculis bibendum sapien lobortis sed est"	"300000.0"	""	"c-54221"	"benzathine penicillin, procaine, longicil"	"units/mL"	"803932"	"units"	"IM"	"0.25"	""	""	"2009-08-30 00:00:00.0"
""	""	"5bf75b9d-abd9-102e-a63e-f528764d9b2d"	""	""	"Penicillin"	""	"1"	"2011-08-19 00:00:00.0"	"units/kg"	"mL"	"Completed"	"255000.0"	"test5598475"	"slarson"	"sapien in varius massa amet elementum mattis nibh euismod torquent sed accumsan nullam suscipit amet sed cursus fringilla sed erat sed velit  faucibus sociosqu cubilia quam ut bibendum sollicitudin sed leo amet sodales"	"300000.0"	"50000.0"	"c-54221"	"Penicillin"	"units/mL"	"803932"	"units"	"IM"	"0.85"	"6393464"	""	"2011-08-22 00:00:00.0"
""	""	"5bf75b9d-abd9-102e-a63e-f528764d9b2d"	""	""	""	""	"1"	"2011-08-19 00:00:00.0"	"mg/kg"	"mL"	"Completed"	"0.51"	"test5598475"	"slarson"	"etiam dui aliquam urna scelerisque nibh"	"1.5"	"0.1"	"c-60432"	"Meloxicam (oral suspension) (Metacam)"	"mg/mL"	"803932"	"mg"	"oral"	"0.34"	""	""	"2011-08-26 00:00:00.0"
"2010-05-24 14:37:37.0"	"diam neque id dolor tempus leo massa ut eros proin"	""	""	""	"Penicillin"	""	"1"	"2009-08-24 00:00:00.0"	""	"mL"	"Completed"	"60000.0"	"test4945025"	""	"fusce vestibulum dignissim pretium tempus in ac neque et vestibulum viverra suscipit in dolor eleifend rutrum libero porta pellentesque massa urna magna ut dignissim nibh mi at potenti orci dolor ante varius"	"300000.0"	""	"c-54221"	"benzathine penicillin, procaine, longicil"	"units/mL"	"803932"	"units"	"SQ"	"0.2"	""	""	"2009-08-27 00:00:00.0"
"2010-05-24 14:37:37.0"	""	""	""	""	""	""	"1"	"2009-08-24 00:00:00.0"	""	"mL"	"Completed"	"0.1"	"test4945025"	""	"pretium sagittis nibh blandit dolor cursus purus ut venenatis varius sit orci commodo scelerisque facilisis hendrerit venenatis feugiat tempor nunc sem natoque congue suspendisse"	"5.0"	""	"c-60431"	"meloxicam (injectable) (metacam)"	"mg/mL"	"803932"	"mg"	"SQ"	"0.02"	""	""	"2009-08-25 00:00:00.0"
"2010-05-24 14:37:37.0"	""	""	""	""	""	""	"2"	"2009-08-29 00:00:00.0"	""	"mL"	"Completed"	"0.015"	"test4945025"	""	"interdum ante donec volutpat quam dictum non iaculis tristique nunc tortor arcu convallis nullam sit diam vestibulum sit auctor nunc neque vitae vehicula commodo duis"	"0.3"	""	"c-60a11"	"buprenorphine hydrochloride"	"mg/mL"	"803932"	"mg"	"IM"	"0.05"	""	""	"2009-08-29 00:00:00.0"
"2010-05-24 14:37:37.0"	""	""	"4832768"	""	""	""	"1"	"2009-11-07 00:00:00.0"	""	"mL"	"Completed"	"0.1299"	"test4945025"	"aschara"	"faucibus erat quis dolor hendrerit libero nisl iaculis magna turpis lorem et auctor consequat nisi  augue neque quis vestibulum fringilla turpis scelerisque urna sed dignissim proin taciti lorem"	"1.5"	""	"c-60432"	"meloxicam (oral suspension) (metacam)"	"mg/mL"	"803932"	"mg"	"oral"	"0.0866"	""	""	"2009-11-08 00:00:00.0"
"2010-05-24 14:37:37.0"	""	""	"3079426"	""	""	""	"1"	"2009-11-25 00:00:00.0"	""	"mL"	"Completed"	"0.15"	"test4945025"	"jbacon"	"purus pellentesque egestas odio non posuere est morbi pretium pellentesque sagittis massa phasellus commodo amet quisque dignissim orci justo amet facilisis est tempus vestibulum enim non"	"1.5"	""	"c-60432"	"meloxicam (oral suspension) (metacam)"	"mg/mL"	"803932"	"mg"	"oral"	"0.1"	""	""	"2009-11-27 00:00:00.0"
"2010-10-05 15:54:27.0"	"bibendum mi justo sapien adipiscing id suspendisse at in id amet mauris eu tellus"	""	"2034725"	""	""	""	"2"	"2010-09-30 00:00:00.0"	""	"piece(s)"	"Completed"	"0.0"	"test4945025"	"tomczak"	"imperdiet sit vestibulum at in ut id lectus consectetur dis bibendum elit sed et vestibulum id quam"	"0.0"	""	"c-f0000"	"Softies"	""	"803932"	""	"oral"	"2.0"	""	""	"2010-10-05 00:00:00.0"
"2010-12-13 11:33:34.0"	"magna id sit ornare lorem"	""	"4256048"	""	""	""	"4"	"2010-10-06 00:00:00.0"	""	""	"Completed"	"0.0"	"test4945025"	"slarson"	"rutrum et vulputate amet luctus eget rhoncus mollis est amet vel dui non tempus"	"0.0"	""	"c-f0000"	"food, nos"	""	"803932"	""	"oral"	"0.0"	""	""	"2010-12-12 00:00:00.0"
"2011-05-12 08:58:56.0"	""	""	"8773439"	""	""	""	"4"	"2011-05-17 00:00:00.0"	""	"mL"	"Completed"	"79.2"	"test3224553"	"vcarter"	"vitae tortor ut libero quam dui arcu vestibulum elit nisl donec in eros non ipsum odio lorem ultricies erat amet nisl erat gravida"	"330.0"	""	"c-53120"	"Cefazolin"	"mg/mL"	"7133145"	"mg"	"IM"	"0.24"	""	""	"2011-05-18 00:00:00.0"
"2011-05-12 09:01:07.0"	"sed sed"	""	"8773439"	""	""	""	"5"	"2011-05-18 00:00:00.0"	""	""	"Completed"	"0.033"	"test3224553"	"vcarter"	"et enim sociosqu nec elementum et et ac lacinia facilisis erat varius id posuere malesuada donec leo amet sed at donec nunc consectetur integer aliquam"	"0.3"	""	"c-60a11"	"Buprenorphine"	"mg/mL"	"7133145"	"mg"	"IM"	"0.11"	""	""	"2011-05-18 00:00:00.0"
"2011-05-12 09:02:37.0"	""	""	"8773439"	""	""	""	"1"	"2011-05-19 00:00:00.0"	""	""	"Completed"	"0.315"	"test3224553"	"vcarter"	"neque laoreet malesuada posuere amet facilisis sed sociosqu tortor sed odio bibendum volutpat purus primis integer lacus vehicula lectus sapien fusce vitae sed quis ante proin fringilla"	"1.5"	""	"c-60432"	"Meloxicam (oral suspension) (Metacam)"	"mg/mL"	"7133145"	"mg"	"oral"	"0.21"	""	""	"2011-05-21 00:00:00.0"
"2011-05-12 09:01:46.0"	""	""	"8773439"	""	""	""	"2"	"2011-05-19 00:00:00.0"	""	"mL"	"Completed"	"0.033"	"test3224553"	"vcarter"	"quam dignissim lacus condimentum ac quam rhoncus et pellentesque non cras ligula feugiat condimentum libero leo mollis placerat viverra libero nisl nulla"	"0.3"	""	"c-60a11"	"Buprenorphine"	"mg/mL"	"7133145"	"mg"	"IM"	"0.11"	""	""	"2011-05-19 00:00:00.0"
"2011-05-12 08:59:43.0"	""	""	"8773439"	""	""	""	"2"	"2011-05-19 00:00:00.0"	""	"mL"	"Completed"	"79.2"	"test3224553"	"vcarter"	"sed sapien vitae consequat  adipiscing mi duis at fringilla ut in vivamus rhoncus pellentesque vestibulum fames mi facilisis nullam"	"330.0"	""	"c-53120"	"Cefazolin"	"mg/mL"	"7133145"	"mg"	"IM"	"0.24"	""	""	"2011-05-19 00:00:00.0"
"2011-05-12 09:03:23.0"	"orci sodales ipsum pulvinar dolor in at pellentesque tincidunt quam"	""	"8773439"	""	""	""	"2"	"2011-05-20 00:00:00.0"	""	"mL"	"Completed"	"80.0"	"test3224553"	"vcarter"	"eget ut mus quam consequat elementum velit in nisi sit vehicula lobortis fermentum amet lectus sodales eros magna suscipit lectus"	"50.0"	""	"c-53130"	"Cephalexin"	"mg/mL"	"7133145"	"mg"	"oral"	"1.6"	""	""	"2011-05-23 00:00:00.0"
"2011-06-13 08:48:23.0"	""	""	"8773439"	""	""	""	"4"	"2011-06-14 00:00:00.0"	""	"mL"	"Completed"	"79.2"	"test3224553"	"vcarter"	"porta sodales donec varius velit elit parturient non nec et aliquet purus arcu luctus placerat convallis imperdiet ut metus vestibulum"	"330.0"	""	"c-53120"	"Cefazolin"	"mg/mL"	"7133145"	"mg"	"IM"	"0.24"	""	""	"2011-06-14 00:00:00.0"
"2011-06-15 07:05:28.0"	""	""	"8773439"	""	""	""	"5"	"2011-06-15 00:00:00.0"	""	"mL"	"Completed"	"6.0"	"test3224553"	"vcarter"	"rutrum at id vestibulum metus dui mauris in lectus massa tellus justo praesent cubilia faucibus magna vel egestas tortor luctus cursus condimentum lectus"	"4.0"	""	"c-913a4"	"Dexamethasone SP"	"mg/mL"	"7133145"	"mg"	"SQ"	"1.5"	""	""	"2011-06-15 00:00:00.0"
"2011-06-13 08:49:14.0"	""	""	"8773439"	""	""	""	"5"	"2011-06-15 00:00:00.0"	""	"mL"	"Completed"	"79.2"	"test3224553"	"vcarter"	"hendrerit nam pretium et lorem sed massa cubilia odio vestibulum purus augue sit urna at tellus sed dapibus blandit aliquam"	"330.0"	""	"c-53120"	"Cefazolin"	""	"7133145"	"mg"	"IM"	"0.24"	""	""	"2011-06-15 00:00:00.0"
"2011-06-13 08:50:07.0"	""	""	"8773439"	""	""	""	"5"	"2011-06-15 00:00:00.0"	""	"mL"	"Completed"	"0.033"	"test3224553"	"vcarter"	"libero auctor vitae vel vitae in in elit ac quis in ligula id montes ipsum donec rhoncus  volutpat fermentum varius quis amet sapien a sed quis nulla ultrices"	"0.3"	""	"c-60a11"	"Buprenorphine"	"mg/mL"	"7133145"	"mg"	"IM"	"0.11"	""	""	"2011-06-15 00:00:00.0"
"2011-06-13 08:51:06.0"	""	""	"8773439"	""	""	""	"2"	"2011-06-16 00:00:00.0"	""	""	"Completed"	"0.033"	"test3224553"	"vcarter"	"vitae vitae nullam dolor a odio egestas vitae egestas scelerisque eros faucibus odio  vivamus nisi metus mauris vitae amet urna nisi sit  phasellus est"	"0.3"	""	"c-60a11"	"Buprenorphine"	"mg/mL"	"7133145"	"mg"	"IM"	"0.11"	""	""	"2011-06-16 00:00:00.0"
"2011-06-13 08:52:16.0"	"leo curabitur ullamcorper non fringilla nisl ut lorem etiam nibh"	""	"8773439"	""	""	""	"2"	"2011-06-16 00:00:00.0"	""	"mL"	"Completed"	"80.0"	"test3224553"	"vcarter"	"faucibus sed luctus in consequat ante nullam in tincidunt amet feugiat maecenas dolor nec non lectus sed non gravida sed mollis aliquam"	"50.0"	""	"c-53130"	"Cephalexin"	"mg/mL"	"7133145"	"mg"	"oral"	"1.6"	""	""	"2011-06-20 00:00:00.0"
"2011-06-13 08:57:53.0"	""	""	"8773439"	""	""	""	"2"	"2011-06-16 00:00:00.0"	""	"mL"	"Completed"	"6.0"	"test3224553"	"vcarter"	"leo etiam lacus purus sem lobortis urna feugiat nisi ipsum interdum convallis libero id metus nunc donec gravida consequat tellus semper id quis integer"	"4.0"	""	"c-913a4"	"Dexamethasone SP"	"mg/mL"	"7133145"	"mg"	"SQ"	"1.5"	""	""	"2011-06-16 00:00:00.0"
"2011-06-13 08:58:37.0"	""	""	"8773439"	""	""	""	"2"	"2011-06-17 00:00:00.0"	""	"mL"	"Completed"	"3.0"	"test3224553"	"vcarter"	"metus amet et sed vitae ac malesuada urna vestibulum mauris sollicitudin tincidunt aliquam porta et cras suscipit porttitor felis suspendisse placerat aliquam"	"4.0"	""	"c-913a4"	"Dexamethasone SP"	"mg/mL"	"7133145"	"mg"	"SQ"	"0.75"	""	""	"2011-06-17 00:00:00.0"
"2011-06-13 08:59:41.0"	""	""	"8773439"	""	""	""	"2"	"2011-06-18 00:00:00.0"	""	"mL"	"Completed"	"1.52"	"test3224553"	"vcarter"	"venenatis risus luctus magna proin placerat diam sed nisi non tellus integer rhoncus felis a mauris adipiscing nibh vel vitae amet rutrum eros ante porttitor"	"4.0"	""	"c-913a4"	"Dexamethasone SP"	"mg/mL"	"7133145"	"mg"	"SQ"	"0.38"	""	""	"2011-06-18 00:00:00.0"
"2011-05-23 13:20:11.0"	""	""	"8088273"	""	""	""	"4"	"2011-05-17 00:00:00.0"	""	"mL"	"Completed"	"69.3"	"test3621582"	"rbaker"	"purus cursus id id class praesent nunc sapien in ornare felis tempor sem amet libero mi vitae vel tempus magna quis ante eros nam"	"330.0"	""	"c-53120"	"Cefazolin"	"mg/mL"	"7133145"	"mg"	"IM"	"0.21"	""	""	"2011-05-17 00:00:00.0"
