"daterequested"	"ts"	"remark"	"taskid"	"userid"	"parentId"	"type"	"date"	"QCStateLabel"	"Id"	"title"	"performedby"	"Description"	"restraint"	"major"	"serviceRequested"	"caseno"	"project"	"restraintDuration"	"account"	"requestid"	"enddate"	"restraintTime"
""	""	"iaculis adipiscing ac lacus non semper felis"	"1513ce1b-aa3a-102e-b651-f528764dd3a5"	""	""	"Physical Exam and TB Test"	"2011-07-11 10:00:00.0"	"Completed"	"test4013108"	"Physical Exam"	"mharke"	"fringilla eu nec vestibulum aenean  volutpat et ut nec est volutpat mollis morbi"	""	""	""	""	"803932"	""	""	""	""	""
""	""	"metus erat mi ac"	"1513cbe7-aa3a-102e-b651-f528764dd3a5"	""	""	"Physical Exam and TB Test"	"2011-07-11 10:00:00.0"	"Completed"	"test5292692"	"Physical Exam"	"mharke"	"sed in ac massa et scelerisque nibh semper mauris adipiscing elit ipsum ut lacus"	""	""	""	""	"803932"	""	""	""	""	""
""	"2010-05-24 14:29:43.0"	"nisi dolor ipsum in donec et ut scelerisque hendrerit tellus lacinia pretium nisl ante ultricies mollis cubilia ac sit tellus mi fringilla  amet molestie tortor nullam porta sociis non tincidunt tortor dolor pellentesque nunc nisl dignissim quis lobortis sollicitudin in auctor ac vestibulum suscipit consequat erat quis cras dictum condimentum class blandit dui orci quis commodo sociosqu vehicula sodales mi gravida tristique in nibh ut aliquam aliquet praesent eget dignissim neque arcu ad vitae montes posuere laoreet id vel lectus maecenas sit habitant varius at id pretium tristique viverra vestibulum lorem gravida vitae metus integer interdum curae; neque semper vestibulum elit varius tincidunt in tortor amet luctus nulla in et nam eget quis nibh porta et non non phasellus a   aliquam massa ante amet justo aliquam nam venenatis pellentesque"	""	""	""	"Biopsy"	"2009-08-28 00:00:00.0"	"Completed"	"test4945025"	"09b030"	""	"pellentesque tempor pulvinar non cras ante laoreet"	""	""	""	"in porta"	""	""	"3205793"	""	""	""
""	"2010-05-24 14:37:00.0"	"eu tristique massa praesent fringilla risus turpis diam tempus tellus vel consequat consectetur leo sed phasellus ut neque nisi felis lacinia ante at nibh et quisque ut leo egestas gravida condimentum et sed eros pellentesque tortor  a non sapien pellentesque augue pellentesque elit eget erat id ac lobortis donec suscipit ullamcorper interdum hendrerit mi ad sem ligula magna lobortis curabitur eu diam bibendum dignissim sagittis orci mollis facilisis tempor dis sapien congue elit in gravida amet id lorem sed ultrices sed at non lorem egestas faucibus hendrerit tempor pellentesque pretium suscipit libero dui porta nec metus pellentesque odio enim risus consectetur aliquet sed posuere lobortis imperdiet quis malesuada at aliquet ligula fusce fusce neque sodales ac scelerisque dolor et arcu pellentesque accumsan condimentum vitae et est fringilla lacinia id amet sed dolor facilisis rutrum sit nullam a vehicula sodales fermentum lorem quis ullamcorper imperdiet vehicula nisi molestie a sapien volutpat sem pretium phasellus quis vel eget eget in id lacus interdum euismod in mi nunc mi sollicitudin nec nec semper at eget odio magna turpis nulla turpis elit nisl massa hendrerit porttitor pharetra libero adipiscing auctor sed urna  amet neque nisi a purus adipiscing enim molestie proin sit gravida sollicitudin donec orci velit a fringilla sit donec et tellus at nec sollicitudin tristique rhoncus orci proin luctus amet aliquet risus commodo in sit ipsum etiam quam habitant tincidunt libero conubia lobortis scelerisque vitae ut metus venenatis sagittis venenatis"	""	""	""	"Surgery"	"2009-08-28 11:45:00.0"	"Completed"	"test4945025"	""	"brunner"	"dui nec elementum et amet nam ligula cubilia suscipit porta nam rhoncus nunc urna magna"	""	"Yes"	""	""	"803932"	""	""	""	"2009-08-28 14:20:00.0"	""
""	""	"massa non consectetur"	"4b7cce82-aa42-102e-b651-f528764dd3a5"	""	""	"Physical Exam and TB Test"	"2011-07-11 09:30:00.0"	"Completed"	"test3771679"	"Physical Exam"	"mharke"	"ultrices tellus tortor tellus nisi iaculis in mi non fusce quis et eget scelerisque"	""	""	""	""	"803932"	""	""	""	""	""
""	""	"interdum pellentesque"	"4b7cd39a-aa42-102e-b651-f528764dd3a5"	""	""	"Physical Exam and TB Test"	"2011-07-11 09:30:00.0"	"Completed"	"test4037096"	"Physical Exam"	"mharke"	"libero sed justo pellentesque porttitor consequat vitae turpis id tellus convallis"	""	""	""	""	"803932"	""	""	""	""	""
""	"2011-08-01 13:49:45.0"	"semper odio ultrices in sapien donec nibh malesuada at tempus consequat et quis amet imperdiet amet tristique tristique velit dictum molestie lorem nec aliquam non vitae non vestibulum dui sodales amet auctor gravida rutrum porttitor amet blandit sit lacinia dis praesent lectus elementum nam sodales feugiat mollis diam porttitor ullamcorper nulla id ut eget purus amet euismod morbi et eu lacus nec habitant nibh tempor ut malesuada massa morbi placerat lacus arcu scelerisque blandit suscipit  suspendisse luctus sodales dictum eros vitae sollicitudin in magna odio fringilla enim purus quis odio gravida donec consequat cum eu erat ut aenean commodo sapien est ac magna aenean sed rutrum eu urna dui eleifend sodales amet nulla ut faucibus vestibulum vivamus at ut ante donec pulvinar dolor pharetra eget elit sed pellentesque elementum dignissim odio suscipit pretium posuere dapibus hendrerit urna volutpat ligula rutrum quam quam suscipit sapien nibh dui in massa dolor vehicula ut non orci eleifend vulputate fermentum ipsum tempor lobortis nunc metus praesent euismod sit eleifend odio fusce donec pulvinar quisque diam sed at non justo morbi vehicula mattis cursus adipiscing aliquam fames ante fermentum porta platea ipsum porta mollis gravida felis vestibulum quis consequat pellentesque nostra vitae donec venenatis scelerisque et est lacus pretium curabitur integer ut eget eget dolor rutrum mauris pulvinar vestibulum euismod mi et a urna vestibulum mauris cum conubia nec nostra et phasellus integer est rutrum molestie auctor congue urna nec donec nisi a id elit scelerisque nibh quam faucibus leo convallis quis tempor eu sit sem nec morbi penatibus vel quam vestibulum vitae ultrices blandit amet a sem nunc quis elit nibh lacinia amet sodales hendrerit duis dolor imperdiet egestas in ornare pharetra lacus laoreet cras tellus pharetra tortor ac scelerisque ante ac amet amet faucibus leo quis diam ut eget non semper at mattis natoque fusce vehicula ac id tempor nisi placerat sodales maecenas morbi ut et dignissim neque varius aliquet tellus gravida phasellus nunc bibendum lorem sed sem inceptos imperdiet vitae mi nibh eget amet suscipit nibh tincidunt interdum vel turpis nascetur velit tristique pulvinar eget enim ante placerat feugiat erat vestibulum euismod nec vehicula sed iaculis ut tincidunt sagittis nulla ligula ac sodales condimentum vulputate rhoncus lacus at non quis"	""	""	""	"Necropsy"	"2011-06-20 00:00:00.0"	"Completed"	"test1441142"	"11c140"	""	"adipiscing nec ac fusce dui vel nisi nam porttitor"	""	""	""	"hendrerit"	""	""	"3205793"	""	""	""
""	"2011-08-01 15:52:17.0"	"tristique eu lectus eu vestibulum adipiscing tempor quis massa condimentum cras suscipit rutrum vitae id ultricies est fringilla sit sollicitudin id volutpat ipsum posuere sed sapien sit ultricies eu dignissim vitae sed iaculis tellus metus auctor egestas nunc odio quisque posuere non dui mi leo sapien et dignissim sem laoreet elit ac blandit amet tortor tellus massa mattis ante parturient suscipit eleifend rutrum venenatis ante mi sed facilisis non luctus tellus morbi ultricies quam hendrerit hendrerit sed lorem nisi sapien nisi integer et a augue porttitor dui tempus auctor ac vitae faucibus elit vel molestie nisi a malesuada gravida vel suspendisse sed dui bibendum est nisi ipsum curabitur eros senectus auctor himenaeos blandit amet quis eget eu auctor ligula netus velit vestibulum cras elit sapien fames rhoncus scelerisque torquent euismod mi molestie condimentum consectetur non ipsum massa sit massa pharetra neque magna vestibulum eu ante dignissim orci congue quis lacinia justo metus pulvinar at congue ac eget aliquam mi tristique vulputate felis orci urna nibh feugiat quis  laoreet nunc tincidunt cras et nec neque justo blandit mattis amet ligula lacus litora metus molestie rutrum dictum mollis feugiat varius urna class interdum egestas arcu velit torquent felis felis augue diam elementum quam augue sagittis nullam venenatis consequat cras urna faucibus lectus congue a phasellus bibendum at euismod eleifend et massa urna semper consequat volutpat vitae aliquet rhoncus consequat tincidunt turpis gravida amet sed et imperdiet arcu vulputate nunc nulla in elit integer vestibulum fusce justo ultricies pellentesque ac pellentesque consequat lectus amet vitae dignissim justo dis vestibulum nunc donec sed aptent tincidunt lacus eu vel vitae iaculis nec tristique in curae; nam feugiat sed turpis hac luctus volutpat ac dolor vitae odio amet est et porta viverra non sit et auctor porta tincidunt sociosqu id dui quam nisl quis id in euismod per dictum est porttitor feugiat consequat donec ornare pulvinar augue quis mauris nisl amet montes lacus est consectetur at vulputate diam at vestibulum tortor amet mattis convallis purus sed at lacinia id tristique nisi amet erat duis suspendisse nibh fusce id lobortis aliquam magna vestibulum sed velit sit posuere ut vitae felis urna ut sollicitudin aliquet cubilia at sit ligula semper tincidunt enim nunc ultrices nibh phasellus tempor ante ipsum iaculis feugiat elit ultrices tempus non semper mauris tempus sagittis nec neque sociis odio bibendum eu ac nam eu varius bibendum dapibus eget eget gravida posuere dictum nunc bibendum non odio praesent nullam quisque nisi adipiscing sed sociis eros nascetur adipiscing aliquet morbi pellentesque at erat augue purus sit morbi adipiscing mattis vel elit in sit vitae nunc tellus dolor aliquam in adipiscing metus morbi elit dolor quisque dapibus"	""	""	""	"Necropsy"	"2011-06-14 00:00:00.0"	"Completed"	"test1020148"	"11c132"	""	"aliquam augue curae; ut phasellus elit imperdiet"	""	""	""	"egestas felis"	""	""	"3205793"	""	""	""
""	"2011-08-01 15:41:55.0"	"in ut enim interdum risus lorem elit metus ante vestibulum in magna curabitur nascetur facilisis ornare sit molestie semper mus hendrerit pretium aliquam ut ut mauris tempus fusce vulputate placerat semper congue eget euismod per ornare adipiscing donec faucibus semper vel et ac augue aliquam gravida a sed elit id hendrerit ipsum erat in cursus erat imperdiet ante ullamcorper aliquet dolor suscipit tincidunt lorem nam ante molestie sapien lacinia donec metus sem sed libero lacinia posuere lacus sed imperdiet lorem mi nulla felis vivamus vitae convallis aliquet arcu libero in curae; neque magna ultricies vel quis luctus egestas urna lectus massa tellus est a non nunc urna sit eu massa placerat eros justo id purus facilisis imperdiet sed pellentesque eleifend nascetur at sed et imperdiet eget amet  parturient vulputate vivamus curabitur turpis dolor libero ut sit in tortor est in fusce gravida orci leo vitae eleifend ultricies odio arcu purus nam tortor lorem dignissim egestas blandit imperdiet aliquet phasellus ultrices praesent tincidunt sem a mollis quis erat velit vestibulum nulla vitae phasellus cum orci ultricies erat rhoncus ullamcorper sodales etiam metus aenean faucibus ultrices bibendum hendrerit id ullamcorper habitasse ridiculus lacus sed hendrerit nullam pretium ad pulvinar blandit ligula non pharetra id aenean urna augue habitasse purus auctor sed venenatis facilisi bibendum sed ac vel non ac rhoncus cras metus ante eu pharetra sed blandit orci donec mauris maecenas sit nulla at velit metus inceptos amet volutpat eget lacus nunc vel nibh tempus est sagittis ultricies lobortis orci id vestibulum ullamcorper faucibus quam erat diam lectus non fusce condimentum neque suscipit mi ut lacinia nibh quisque et ac id proin dolor urna sed curabitur tempor tortor mi lacus duis vitae diam nisi amet viverra nunc tincidunt rutrum sit sed nisi erat sed ante donec quam dis sed nec ut ornare sed lacinia phasellus imperdiet a mollis condimentum gravida nec metus viverra vestibulum pharetra metus sodales vitae neque ipsum adipiscing eu non risus cursus feugiat suspendisse sit curae; fusce tristique cras bibendum urna varius pretium cursus vel in sollicitudin sem suspendisse sed a nam convallis mus condimentum urna suscipit amet phasellus sed congue in quis viverra id integer ipsum blandit lobortis tortor ante lorem mi lobortis ullamcorper quam integer tellus felis suscipit mollis gravida arcu leo id et sed facilisis et lacus sagittis dolor sociis ante elementum blandit felis mollis in suspendisse magna mi dui malesuada porttitor et sed elit aliquam magna congue enim metus porta vivamus scelerisque felis sit nibh varius vehicula mauris sed nibh quis porta magna magnis at lectus blandit magnis elementum massa proin velit quis turpis massa facilisis nisl dolor ut diam commodo orci ut mollis nunc tempor venenatis ut sapien posuere"	""	""	""	"Necropsy"	"2011-06-14 00:00:00.0"	"Completed"	"test1020148"	"11c132"	""	"dignissim molestie eget ut a non fringilla sed nunc"	""	""	""	"erat justo"	""	""	"3205793"	""	""	""
""	""	"erat libero cursus"	"a97bd0f3-b548-102e-b2c9-f528764d87d0"	""	""	"Physical Exam and TB Test"	"2011-07-20 10:15:00.0"	"Completed"	"test1112911"	"Physical Exam"	"mharke"	"quis congue in diam mattis  gravida ornare sed in scelerisque id vitae varius"	""	""	""	""	"803932"	""	""	""	""	"0"
""	""	"tempor elit   donec et tellus lacinia elit dolor"	"a97bd271-b548-102e-b2c9-f528764d87d0"	""	""	"Physical Exam and TB Test"	"2011-07-20 10:00:00.0"	"Completed"	"test727088"	"Physical Exam"	"mharke"	"lectus dictum in nam pellentesque adipiscing sed facilisis semper senectus placerat"	""	""	""	""	"803932"	""	""	""	""	"0"
""	"2011-05-19 09:20:35.0"	"quis faucibus tempor varius mauris id ac arcu id tortor eu eget suscipit nec non porta sapien aliquam malesuada massa orci et cubilia sem in volutpat elit ligula nulla tincidunt sed mauris leo lobortis viverra varius inceptos tristique interdum aliquam et non porttitor ac ipsum eget nec sed elit mauris ipsum sed vestibulum iaculis non magna ad porttitor sagittis pharetra tincidunt eleifend vel vestibulum a vestibulum augue facilisis lacinia metus vestibulum ante urna dolor non id dolor et donec consectetur faucibus mauris faucibus sed nibh"	""	""	""	"Surgery"	"2011-05-18 10:14:00.0"	"Completed"	"test3224553"	"cranial bead implant"	"shelton"	"sodales dis iaculis adipiscing nec praesent vel cras faucibus enim nulla dui sem nulla nisi et"	""	"No"	""	""	"7133145"	""	""	""	"2011-05-18 13:09:00.0"	""
""	"2011-06-16 13:51:59.0"	"nisi tristique donec in lobortis ante ultricies volutpat a in venenatis sit sed sit vestibulum semper in nec blandit lobortis a urna in enim risus rhoncus faucibus pulvinar tincidunt nec sapien sed sed facilisis id volutpat integer duis dapibus vel nunc amet himenaeos vivamus ante pharetra quisque erat libero laoreet nisl laoreet duis molestie dapibus nulla nisl ipsum vel malesuada lacus condimentum erat ac volutpat posuere eget leo id velit id cursus ipsum curae; consectetur lacus posuere nulla tortor quisque nullam et vehicula purus sagittis fringilla malesuada vivamus sed nunc lacus porta orci faucibus sagittis phasellus curabitur etiam dapibus eleifend in quis purus nunc laoreet sem ac sit tellus sem sed sem velit magnis nec gravida"	""	""	""	"Surgery"	"2011-06-15 08:13:00.0"	"Completed"	"test3224553"	""	"shelton"	"at id sodales turpis porta ullamcorper euismod vel ridiculus amet viverra id praesent"	""	"Yes"	""	""	"7133145"	""	""	""	"2011-06-15 14:44:00.0"	""
""	""	"nulla hendrerit vivamus velit ullamcorper et in ullamcorper ipsum pellentesque nisi"	"a97bcef8-b548-102e-b2c9-f528764d87d0"	""	""	"Physical Exam and TB Test"	"2011-07-20 10:15:00.0"	"Completed"	"test3224553"	"Physical Exam"	"mharke"	"porta sed ante quis vel dictumst ligula mi luctus vestibulum placerat fringilla"	""	""	""	""	"803932"	""	""	""	""	"0"
""	"2011-05-19 09:02:52.0"	"non dapibus ultricies nunc vel dolor odio justo vivamus ac pellentesque magna"	""	""	""	"Surgery"	"2011-05-18 08:35:00.0"	"Completed"	"test3621582"	""	"shelton"	"vel vivamus ut lacus pulvinar id nulla donec integer posuere congue"	""	"No"	""	""	"7133145"	""	""	""	"2011-05-18 09:40:00.0"	""
""	""	"augue laoreet porttitor"	"a97bd7b7-b548-102e-b2c9-f528764d87d0"	""	""	"Physical Exam and TB Test"	"2011-07-20 10:00:00.0"	"Completed"	"test3621582"	"Physical Exam"	"mharke"	"habitant tellus congue suspendisse ac velit ipsum risus commodo posuere egestas"	""	""	""	""	"803932"	""	""	""	""	"0"
""	""	"nunc sagittis malesuada egestas tristique"	"11fe84a1-b0f0-102e-8fcd-f528764d9ad7"	""	""	"Physical Exam and TB Test"	"2011-07-06 09:49:00.0"	"Completed"	"test6700530"	"Physical Exam"	"jcoonen"	"leo semper convallis sapien amet rutrum morbi amet molestie ultrices consequat"	""	""	""	""	"803932"	""	""	""	""	""
""	""	"euismod urna amet et odio faucibus"	"474ffd73-c10c-102e-8d41-48cf881b3648"	""	""	"Procedure"	"2011-09-13 19:20:00.0"	"Completed"	"test6700530"	"MPR: r10069"	"kk"	"et vestibulum eu porttitor arcu eget nec ante enim eget"	""	"No"	""	""	"6702382"	""	"3421508"	""	""	""
""	""	"felis urna mi placerat interdum scelerisque gravida eget vehicula quis vulputate"	"11fe82d1-b0f0-102e-8fcd-f528764d9ad7"	""	""	"Physical Exam and TB Test"	"2011-07-06 09:46:00.0"	"Completed"	"test6208376"	"Physical Exam"	"jcoonen"	"ornare aliquam dictum in pellentesque sollicitudin pretium libero nec lacus nisi"	""	""	""	""	"803932"	""	""	""	""	""
""	""	"felis nulla scelerisque augue et diam sit varius lorem eros ut et suscipit amet proin donec torquent commodo risus sapien ultricies nunc enim eu faucibus enim auctor urna mauris nunc amet"	"883f199b-c807-102e-8f24-48cf881babba"	""	""	"Pre-assignment Physical Exam"	"2011-09-21 11:21:00.0"	"Completed"	"test6208376"	"Physical Exam"	"jcoonen"	"est aenean mi cras tempus parturient sagittis dolor eget ac justo vestibulum odio"	""	""	""	""	"803932"	""	""	""	""	""
""	""	"aliquam condimentum"	"11fe9921-b0f0-102e-8fcd-f528764d9ad7"	""	""	"Physical Exam and TB Test"	"2011-07-06 08:59:00.0"	"Completed"	"test9195996"	"Physical Exam"	"jcoonen"	"cras aliquam id adipiscing suscipit mauris in quisque dignissim aliquam pulvinar"	""	""	""	""	"803932"	""	""	""	""	""
""	""	""	"a033f11d-b6f7-102e-8f94-f528764de2a0"	""	""	"Procedure"	"2011-09-01 10:43:00.0"	"Completed"	"test9195996"	"MPR"	"ams"	"lacus vel proin sed enim praesent auctor quis purus"	""	"No"	""	""	"803932"	""	"6393464"	""	""	""
""	""	"tempus amet magna purus"	"883f27d1-c807-102e-8f24-48cf881babba"	""	""	"Pre-assignment Physical Exam"	"2011-09-21 11:09:00.0"	"Completed"	"test9195996"	"Physical Exam"	"jcoonen"	"eleifend nullam at varius ipsum erat proin egestas maecenas consectetur eu eu nisi"	""	""	""	""	"803932"	""	""	""	""	""
""	""	"tristique suspendisse"	"11fe9787-b0f0-102e-8fcd-f528764d9ad7"	""	""	"Physical Exam and TB Test"	"2011-07-06 08:59:00.0"	"Completed"	"test8976544"	"Physical Exam"	"jcoonen"	"ullamcorper lobortis vel semper lobortis neque id nunc sapien iaculis felis aliquam"	""	""	""	""	"803932"	""	""	""	""	""
""	""	"metus velit neque metus"	"4ac3bc5d-c7ea-102e-8f24-48cf881babba"	""	""	"Pre-assignment Physical Exam"	"2011-09-21 11:01:00.0"	"Completed"	"test8976544"	"Physical Exam"	"jcoonen"	"penatibus lorem aliquam luctus tincidunt turpis est nibh at phasellus sit lacinia"	""	""	""	""	"803932"	""	""	""	""	""
""	""	"augue lorem sit"	"9e3b8fe0-aa74-102e-b651-f528764dd3a5"	""	""	"Physical Exam and TB Test"	"2011-07-06 09:02:00.0"	"Completed"	"test3844307"	"Physical Exam"	"cfitz"	"leo nec vivamus facilisis nisi nec vel placerat nulla vestibulum augue mauris"	""	""	""	""	"803932"	""	"6393464"	""	""	"0"
""	""	"magna tellus at eget vitae id et sit dui elementum aliquam nam ornare litora"	"b629f88f-a105-102e-bc38-f528764d1486"	""	""	"Physical Exam and TB Test"	"2011-07-22 09:15:00.0"	"Completed"	"test2312318"	"Physical Exam"	"kflemmen"	"rhoncus posuere tellus ligula rhoncus vitae nulla auctor blandit vitae turpis"	""	""	""	""	"803932"	""	"6393464"	""	""	""
""	"2011-06-28 13:34:01.0"	"sit eget varius integer ultricies consequat nibh aliquam turpis et ipsum elementum nulla morbi condimentum velit ut condimentum ut venenatis dolor magna nunc velit purus magna sed rutrum fringilla venenatis lorem turpis non lobortis orci lacus ut ut suspendisse malesuada sit orci velit at felis in montes duis in elit quisque ut tempus non maecenas nullam donec cubilia facilisi quis massa id laoreet faucibus  ullamcorper mollis urna condimentum vitae lacus tellus magna tristique sed ornare nunc odio donec in amet  risus mi diam porta eros purus ullamcorper commodo consequat urna dictum mollis aenean aliquam magna pretium augue urna vel mollis iaculis nulla sapien mi nulla cursus fermentum nec lacus sem class laoreet posuere vulputate magna euismod dui imperdiet fermentum morbi vitae ullamcorper ligula urna quisque orci quam ac ut varius proin ut adipiscing praesent suscipit etiam et praesent consequat pretium consequat egestas blandit faucibus ac nibh diam viverra vitae mattis mauris nunc rutrum vestibulum natoque in urna eget posuere ante purus tortor aenean purus vel at urna a augue amet et donec arcu ac rutrum vitae fusce sit non magna varius odio suscipit nec porta porta nullam pharetra nunc parturient vestibulum tempor vitae non nec sed natoque cum facilisi varius sem vivamus risus ac dolor scelerisque sodales justo accumsan quis et massa turpis ultricies sit et non curabitur ultricies mauris lobortis per dolor leo pretium neque suscipit tortor eu dapibus tincidunt mauris turpis et maecenas in vitae et consectetur ullamcorper gravida bibendum inceptos ut scelerisque donec ut nulla phasellus urna dui id posuere felis eleifend congue tincidunt nibh semper nostra eu faucibus massa dolor gravida purus posuere dolor elit donec posuere et et lacus aliquam nec quisque turpis quis elit urna euismod tempor mollis integer ultrices suscipit imperdiet  nisl sed etiam nec vehicula at nam et proin maecenas sapien ullamcorper at vitae ipsum aliquet ante mauris cras in auctor amet sed lobortis nullam sem commodo fusce id eros massa ultrices tempus consequat purus semper rhoncus faucibus fringilla eu quisque at ut velit sed inceptos suspendisse nibh congue fusce pellentesque nascetur arcu odio consectetur consequat eu mauris egestas et elit egestas morbi ultrices tempus cursus augue placerat iaculis eu sed suscipit mauris diam urna libero commodo elit quis diam fermentum neque pellentesque vestibulum lacus dolor posuere litora enim mollis aliquam vel senectus ac curabitur volutpat venenatis in suspendisse nisi eu cursus volutpat facilisi ad purus adipiscing ipsum suspendisse morbi torquent ut ante non eros porttitor vitae et non odio"	""	""	""	"Surgery"	"2011-06-24 07:13:00.0"	"Completed"	"test1993532"	"exploratory celiotomy"	"frank/fitz"	"bibendum pellentesque nulla non amet feugiat augue suscipit dapibus at vitae consectetur dignissim porttitor odio sem"	""	"Yes"	""	""	"8247490"	""	""	""	"2011-06-24 10:06:00.0"	""
