"conception"	"weight"	"ts"	"remark"	"taskid"	"parentId"	"type"	"date"	"cond"	"QCStateLabel"	"Id"	"estimated"	"sireMVIndicator"	"performedby"	"Description"	"damMVIndicator"	"gender"	"cage"	"origin"	"sire"	"wdate"	"project"	"dam"	"account"	"enddate"	"requestid"	"objectid"	"room"
"2008-05-08 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2008-10-19 00:00:00.0"	"gm"	"Completed"	"test3843301"	""	""	""	"sed aliquam pellentesque neque sed et tincidunt dolor auctor sed semper eget ac ut elit commodo ut luctus tempor sed metus"	""	"f"	"4420023"	"nullam"	"731544"	""	""	"9652404"	""	""	""	"e346280b-b8ba-102d-8c2a-9926f351b9ae"	"9625074"
"2008-05-17 00:00:00.0"	""	"2010-05-24 14:29:43.0"	"tempor sem gravida auctor auctor quis himenaeos diam imperdiet ut felis erat porttitor"	""	""	"n"	"2008-10-28 00:00:00.0"	"m"	"Completed"	"test8533200"	""	""	""	"lorem diam duis at amet parturient suspendisse mollis tempus vestibulum suspendisse id pulvinar congue facilisis congue"	""	"f"	"4823741"	"tristique"	"9468964"	""	""	"1636539"	""	""	""	"e34673a1-b8ba-102d-8c2a-9926f351b9ae"	"3447119"
"2008-06-14 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2008-11-27 00:00:00.0"	"gm"	"Completed"	"test7407382"	""	""	""	"placerat purus molestie tortor urna felis curabitur felis sodales aliquam ut dignissim vestibulum parturient ad dui interdum"	""	"f"	"4823741"	"elit"	"731451"	""	""	"1712704"	""	""	""	"e3465bbe-b8ba-102d-8c2a-9926f351b9ae"	"520678"
"2008-09-01 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2009-02-21 00:00:00.0"	"m"	"Completed"	"test5598475"	""	""	""	"nibh porta velit eget quam urna pharetra curae; elit urna id maecenas vehicula vel velit ut scelerisque diam nisl magna"	""	"f"	"396352"	"integer"	"2138172"	""	""	"2712656"	""	""	""	"e346add5-b8ba-102d-8c2a-9926f351b9ae"	"3966623"
"2008-09-11 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2009-02-24 00:00:00.0"	"m"	"Completed"	"test1684145"	""	""	""	"aliquet egestas mi in quam  orci risus fermentum eu libero vestibulum vestibulum class fusce tristique eget sit molestie"	""	"m"	"6217224"	"lobortis"	"4891303"	""	""	"8982969"	""	""	""	"e346b062-b8ba-102d-8c2a-9926f351b9ae"	"3447119"
"2008-09-14 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2009-02-28 00:00:00.0"	"gm"	"Completed"	"test4945025"	""	""	""	"quam velit gravida dolor massa morbi lobortis venenatis in nibh id eleifend mauris donec vehicula ante id etiam suscipit"	""	"f"	"7386214"	"enim"	"9819418"	""	""	"3066209"	""	""	""	"e346b2f3-b8ba-102d-8c2a-9926f351b9ae"	"520678"
"2008-11-10 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2009-04-25 00:00:00.0"	"gm"	"Completed"	"test3137998"	""	""	""	"dapibus nulla nunc eu sodales nascetur orci ipsum gravida laoreet orci sed velit lectus mi fringilla suscipit ultricies"	""	"f"	"4420023"	"molestie"	"4778953"	""	""	"690232"	""	""	""	"e346efe9-b8ba-102d-8c2a-9926f351b9ae"	"520678"
"2008-11-14 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2009-04-27 00:00:00.0"	"gm"	"Completed"	"test7151371"	""	""	""	"a magna cubilia lectus  pulvinar odio commodo venenatis faucibus aliquam duis et natoque dolor nulla dui mollis amet lacus"	""	"f"	"3229246"	"adipiscing"	"2042908"	""	""	"838626"	""	""	""	"e346f275-b8ba-102d-8c2a-9926f351b9ae"	"7910685"
"2008-11-28 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2009-05-13 00:00:00.0"	"m"	"Completed"	"test5158984"	""	""	""	"sollicitudin tempor porttitor feugiat euismod tincidunt suspendisse nec at integer sagittis malesuada sed tristique faucibus"	""	"f"	"8420664"	"aenean"	"2340390"	""	""	"4257883"	""	""	""	"e3470e77-b8ba-102d-8c2a-9926f351b9ae"	"7331380"
"2008-12-11 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2009-05-24 00:00:00.0"	"gm"	"Completed"	"test5131891"	""	""	""	"urna id vel facilisis donec velit pellentesque et quis nam tellus erat hendrerit purus pellentesque condimentum arcu volutpat"	""	"f"	"4216863"	"velit"	"2480492"	""	""	"2001039"	""	""	""	"e3472f80-b8ba-102d-8c2a-9926f351b9ae"	"7331380"
"2008-12-10 00:00:00.0"	""	"2010-05-24 14:29:43.0"	"per amet volutpat quis sapien ultrices enim enim elit nulla"	""	""	"n"	"2009-05-27 00:00:00.0"	"gm"	"Completed"	"test5409620"	""	""	""	"ipsum ac enim pretium at enim pellentesque tellus integer euismod ut nulla aliquam justo elementum lorem erat accumsan"	""	"f"	"396352"	"at ipsum"	"9468964"	""	""	"6954679"	""	""	""	"e3473499-b8ba-102d-8c2a-9926f351b9ae"	"3447119"
"2008-12-31 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2009-06-04 00:00:00.0"	"gm"	"Completed"	"test9118022"	""	""	""	"eget  ac habitasse quam urna vel vestibulum eleifend et egestas sed velit ac pellentesque ullamcorper arcu rutrum libero"	""	"m"	"9742026"	"neque"	"2042908"	""	""	"7257197"	""	""	""	"e3473ca6-b8ba-102d-8c2a-9926f351b9ae"	"2760765"
"2009-01-02 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2009-06-25 00:00:00.0"	"gm"	"Completed"	"test3771679"	""	""	""	"ante vestibulum mauris urna malesuada purus amet ante ultricies cras velit venenatis vivamus metus faucibus maecenas ante"	""	"m"	"9742026"	"enim"	"9503086"	""	""	"6100597"	""	""	""	"e3474c82-b8ba-102d-8c2a-9926f351b9ae"	"2760765"
"2009-02-03 00:00:00.0"	""	"2010-05-24 14:29:43.0"	"ligula ligula amet magna iaculis tempor"	""	""	"n"	"2009-07-22 00:00:00.0"	"gm"	"Completed"	"test4037096"	""	""	""	"quis eget sit fringilla quisque porta libero tempor venenatis sed sollicitudin augue dapibus at ante orci"	""	"m"	"396352"	"eu ullamcorper"	""	""	""	"4597773"	""	""	""	"e3486d17-b8ba-102d-8c2a-9926f351b9ae"	"7584194"
"2009-02-16 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2009-08-02 00:00:00.0"	"gm"	"Completed"	"test1441142"	""	""	""	"est at tempus neque etiam vestibulum ante elit magnis non purus amet condimentum metus vestibulum nullam augue nibh auctor"	""	"m"	"4823741"	"auctor"	"731544"	""	""	"1256797"	""	""	""	"e3487f1b-b8ba-102d-8c2a-9926f351b9ae"	"3966623"
"2009-02-17 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2009-08-03 00:00:00.0"	"m"	"Completed"	"test1099252"	""	""	""	"turpis mauris arcu enim porttitor sed nulla id vestibulum turpis quis nisi non porttitor etiam odio vulputate nec ut"	""	"m"	"7161979"	"hendrerit"	"6512707"	""	""	"9681212"	""	""	""	"e3488436-b8ba-102d-8c2a-9926f351b9ae"	"7910685"
"2009-02-23 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2009-08-10 00:00:00.0"	"m"	"Completed"	"test1020148"	""	""	""	"mus vel arcu nec eu facilisis nunc viverra neque sodales ante fringilla neque nulla non sollicitudin sed semper lorem"	""	"m"	"778520"	"tincidunt"	"57307"	""	""	"7166552"	""	""	""	"e3488bd8-b8ba-102d-8c2a-9926f351b9ae"	"7331380"
"2009-05-17 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2009-11-06 00:00:00.0"	"gm"	"Completed"	"test1112911"	""	""	""	"vulputate amet fusce a orci ante ante nisi mollis purus fermentum mattis facilisis fusce pellentesque bibendum tristique"	""	"m"	"238045"	"convallis"	"731544"	""	""	"6914348"	""	""	""	"e3490f38-b8ba-102d-8c2a-9926f351b9ae"	"7910685"
"2009-05-29 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2009-11-09 00:00:00.0"	"gm"	"Completed"	"test727088"	""	""	""	"tellus congue augue ut pellentesque sodales ad nec massa non porttitor luctus vitae sapien interdum porttitor donec quis"	""	"m"	"1729836"	"lacus"	"3686702"	""	""	"9719847"	""	""	""	"e34912a5-b8ba-102d-8c2a-9926f351b9ae"	"520678"
"2009-06-21 00:00:00.0"	"0.57"	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2009-12-14 00:00:00.0"	"m"	"Completed"	"test3224553"	""	""	""	"mauris sem nisl posuere sollicitudin sed nec ut posuere tristique per posuere nec sed fringilla morbi ligula non nulla mauris enim aliquam imperdiet suspendisse justo"	""	"m"	"3168659"	"quis"	"4434585"	"2009-12-14 10:00:00.0"	""	"7877112"	""	""	""	"e349155e-b8ba-102d-8c2a-9926f351b9ae"	"170990"
"2009-07-19 00:00:00.0"	""	"2010-05-24 14:29:43.0"	""	""	""	"n"	"2010-01-02 00:00:00.0"	"m"	"Completed"	"test3621582"	""	""	""	"neque suscipit eu velit posuere rhoncus conubia a purus faucibus laoreet eros odio lorem consequat fusce tellus potenti"	""	"m"	"2003644"	"orci"	"4434585"	""	""	"5968093"	""	""	""	"e349220e-b8ba-102d-8c2a-9926f351b9ae"	"7331380"
"2010-04-05 00:00:00.0"	"0.425"	"2010-09-10 16:20:03.0"	""	""	""	"c"	"2010-09-10 00:00:00.0"	"am"	"Completed"	"test6700530"	""	""	""	"odio nostra erat orci donec urna lacus vel iaculis orci vivamus nunc eu quisque porta orci purus porta luctus tincidunt et convallis in eu purus accumsan consectetur interdum"	""	"f"	"797019"	"elit"	"9516255"	"2010-09-10 00:00:00.0"	""	"7773678"	""	""	""	"5c151d8b-0e71-102e-8c2a-9926f351b9ae"	"5817501"
"2010-03-22 00:00:00.0"	"0.544"	"2010-09-16 13:34:49.0"	""	""	""	"c"	"2010-09-16 00:00:00.0"	"p"	"Completed"	"test6208376"	""	""	""	"eleifend nec amet habitant suspendisse quis nulla egestas cum scelerisque fermentum risus id ut adipiscing posuere mollis justo non aliquet aliquet aliquet odio rutrum"	""	"m"	"2402362"	"eget"	"2568235"	"2010-09-16 00:00:00.0"	""	"5961588"	""	""	""	"4504f353-1311-102e-8c2a-9926f351b9ae"	"5948339"
"2010-04-26 00:00:00.0"	"0.554"	"2010-10-12 13:15:33.0"	"scelerisque eu quisque"	""	""	"c"	"2010-10-12 00:00:00.0"	"s"	"Completed"	"test9195996"	""	""	""	"in id eget vitae nisl iaculis dui tellus vitae aliquam lacus dui semper mattis urna hendrerit ultricies aliquam quis eget ut quis et ultricies auctor aliquet volutpat"	""	"f"	"2402362"	"ante"	"5542511"	"2010-10-12 00:00:00.0"	""	"7014152"	""	""	""	"e2a53041-277c-102e-8c2a-9926f351b9ae"	"5948339"
"2010-05-01 00:00:00.0"	""	"2010-10-14 10:12:50.0"	""	""	""	"n"	"2010-10-14 00:00:00.0"	"gm"	"Completed"	"test8976544"	""	""	""	"risus mollis eget quisque non vulputate erat aliquam lacus velit malesuada quisque massa mollis tincidunt maecenas praesent"	""	"m"	"1214448"	"nulla"	"9516255"	""	""	"8739374"	""	""	""	"b1494e84-28f5-102e-8c2a-9926f351b9ae"	"3447119"
"2010-05-11 00:00:00.0"	""	"2010-10-29 13:15:30.0"	""	""	""	"n"	"2010-10-29 00:00:00.0"	"m"	"Completed"	"test3844307"	""	""	""	"ultricies ac ultricies adipiscing justo dolor ut ante proin eros donec turpis metus lorem semper convallis eleifend porttitor"	""	"f"	"3939136"	"pellentesque"	"5748235"	""	""	"3694890"	""	""	""	"d7110bd5-3ca0-102e-8c2a-9926f351b9ae"	"7331380"
"1995-02-08 00:00:00.0"	"0.61"	"2010-05-24 14:29:43.0"	""	""	""	"n"	"1995-07-27 00:00:00.0"	"m"	"Completed"	"test2312318"	""	""	""	" iaculis lacus lacus fusce cras vitae bibendum aliquet ante odio gravida ligula nec diam non auctor non sed per gravida quis luctus sed at nunc tincidunt ac non dignissim"	""	"f"	"5141945"	"dignissim"	"9794992"	"1995-08-04 09:30:00.0"	""	"7672314"	""	""	""	"e31e3fda-b8ba-102d-8c2a-9926f351b9ae"	"7331380"
