"weight"	"ts"	"remark"	"taskid"	"parentId"	"date"	"QCStateLabel"	"Id"	"project"	"weightMVIndicator"	"performedby"	"Description"	"account"	"enddate"	"requestid"
"0.433"	"2010-05-24 14:37:42.0"	""	""	""	"2004-08-30 09:30:00.0"	"Completed"	"test3804589"	""	""	""	"sit sed ac consectetur"	""	""	""
"0.434"	"2010-05-24 14:37:42.0"	""	""	""	"2004-09-14 09:30:00.0"	"Completed"	"test3804589"	""	""	""	"id consectetur"	""	""	""
"0.438"	"2010-05-24 14:37:42.0"	""	""	""	"2004-09-28 08:30:00.0"	"Completed"	"test3804589"	""	""	""	"eget urna fusce"	""	""	""
"0.394"	"2010-05-24 14:37:42.0"	""	""	""	"2004-10-04 09:00:00.0"	"Completed"	"test3804589"	""	""	""	"amet turpis sed"	""	""	""
"0.417"	"2010-05-24 14:37:42.0"	""	""	""	"2004-10-12 14:45:00.0"	"Completed"	"test3804589"	""	""	""	"placerat tellus"	""	""	""
"0.436"	"2010-05-24 14:37:42.0"	""	""	""	"2004-11-01 09:00:00.0"	"Completed"	"test3804589"	""	""	""	"egestas varius"	""	""	""
"0.416"	"2010-05-24 14:37:42.0"	""	""	""	"2004-11-12 12:00:00.0"	"Completed"	"test3804589"	""	""	""	"pharetra velit"	""	""	""
"0.435"	"2010-05-24 14:37:42.0"	""	""	""	"2005-01-19 00:00:00.0"	"Completed"	"test3804589"	""	""	""	"nec consequat"	""	""	""
"0.386"	"2010-05-24 14:37:42.0"	""	""	""	"2005-03-28 00:00:00.0"	"Completed"	"test3804589"	""	""	""	" lectus non tempor"	""	""	""
"0.382"	"2010-05-24 14:37:42.0"	""	""	""	"2005-04-01 15:00:00.0"	"Completed"	"test3804589"	""	""	""	"at sed dapibus"	""	""	""
"0.359"	"2010-05-24 14:37:42.0"	""	""	""	"2005-04-11 10:00:00.0"	"Completed"	"test3804589"	""	""	""	"arcu ac rutrum"	""	""	""
"0.415"	"2010-05-24 14:37:42.0"	""	""	""	"2005-05-13 08:35:00.0"	"Completed"	"test3804589"	""	""	""	"sollicitudin at"	""	""	""
"0.416"	"2010-05-24 14:37:42.0"	""	""	""	"2005-05-20 09:30:00.0"	"Completed"	"test3804589"	""	""	""	"vehicula erat"	""	""	""
"0.3883"	"2010-05-24 14:37:42.0"	""	""	""	"2005-08-18 09:00:00.0"	"Completed"	"test3804589"	""	""	""	"platea at egestas"	""	""	""
"0.396"	"2010-05-24 14:37:42.0"	""	""	""	"2005-10-27 10:30:00.0"	"Completed"	"test3804589"	""	""	""	"id in ut accumsan"	""	""	""
"0.375"	"2010-05-24 14:37:42.0"	""	""	""	"2006-01-26 09:00:00.0"	"Completed"	"test3804589"	""	""	""	"nibh curabitur"	""	""	""
"0.407"	"2010-05-24 14:37:42.0"	""	""	""	"2006-04-25 12:30:00.0"	"Completed"	"test3804589"	""	""	""	"amet nec porta"	""	""	""
"0.401"	"2010-05-24 14:37:42.0"	""	""	""	"2006-05-26 09:30:00.0"	"Completed"	"test3804589"	""	""	""	"accumsan duis"	""	""	""
"0.439"	"2010-05-24 14:37:42.0"	""	""	""	"2006-08-22 13:30:00.0"	"Completed"	"test3804589"	""	""	""	"sed dapibus integer"	""	""	""
"0.4"	"2010-05-24 14:37:42.0"	""	""	""	"2006-11-03 09:30:00.0"	"Completed"	"test3804589"	""	""	""	"facilisis consequat"	""	""	""
"0.423"	"2010-05-24 14:37:42.0"	""	""	""	"2006-12-28 11:30:00.0"	"Completed"	"test3804589"	""	""	""	"diam etiam nec"	""	""	""
"0.431"	"2010-05-24 14:37:42.0"	""	""	""	"2007-02-22 08:30:00.0"	"Completed"	"test3804589"	""	""	""	"fringilla magna"	""	""	""
"0.427"	"2010-05-24 14:37:42.0"	""	""	""	"2007-05-15 08:36:00.0"	"Completed"	"test3804589"	""	""	""	"orci tellus praesent"	""	""	""
"0.396"	"2010-05-24 14:37:42.0"	""	""	""	"2007-07-06 09:30:00.0"	"Completed"	"test3804589"	""	""	""	"fringilla nec"	""	""	""
"0.423"	"2010-05-24 14:37:42.0"	""	""	""	"2007-07-20 09:00:00.0"	"Completed"	"test3804589"	""	""	""	"odio in mollis"	""	""	""
"0.431"	"2010-05-24 14:37:42.0"	""	""	""	"2007-09-05 06:00:00.0"	"Completed"	"test3804589"	""	""	""	"enim sit congue"	""	""	""
"0.439"	"2010-05-24 14:37:42.0"	""	""	""	"2007-11-08 10:30:00.0"	"Completed"	"test3804589"	""	""	""	"a massa auctor"	""	""	""
"0.432"	"2010-05-24 14:37:42.0"	""	""	""	"2007-12-27 06:00:00.0"	"Completed"	"test3804589"	""	""	""	"sollicitudin lobortis"	""	""	""
"0.424"	"2010-05-24 14:37:42.0"	""	""	""	"2008-03-07 13:00:00.0"	"Completed"	"test3804589"	""	""	""	"turpis sed parturient"	""	""	""
"0.432"	"2010-05-24 14:37:42.0"	""	""	""	"2008-03-14 10:08:00.0"	"Completed"	"test3804589"	""	""	""	"molestie fusce"	""	""	""
"0.439"	"2010-05-24 14:37:42.0"	""	""	""	"2008-05-19 11:00:00.0"	"Completed"	"test3804589"	""	""	""	"maecenas pulvinar"	""	""	""
"0.433"	"2010-05-24 14:37:42.0"	""	""	""	"2008-05-29 08:30:00.0"	"Completed"	"test3804589"	""	""	""	"parturient sodales"	""	""	""
"0.433"	"2010-05-24 14:37:42.0"	""	""	""	"2008-05-29 08:30:00.0"	"Completed"	"test3804589"	""	""	""	"interdum rutrum"	""	""	""
"0.427"	"2010-05-24 14:37:42.0"	""	""	""	"2008-06-04 10:15:00.0"	"Completed"	"test3804589"	""	""	""	"suspendisse id"	""	""	""
"0.427"	"2010-05-24 14:37:42.0"	""	""	""	"2008-06-04 10:15:00.0"	"Completed"	"test3804589"	""	""	""	"vitae aliquam"	""	""	""
"0.418"	"2010-05-24 14:37:42.0"	""	""	""	"2008-06-11 08:38:00.0"	"Completed"	"test3804589"	""	""	""	"nunc fringilla"	""	""	""
"0.429"	"2010-05-24 14:37:42.0"	""	""	""	"2008-06-13 08:15:00.0"	"Completed"	"test3804589"	""	""	""	"vitae ac lectus"	""	""	""
"0.43"	"2010-05-24 14:37:42.0"	""	""	""	"2008-06-18 00:00:00.0"	"Completed"	"test3804589"	""	""	""	"egestas auctor"	""	""	""
"0.41"	"2010-05-24 14:37:42.0"	""	""	""	"2008-06-25 07:00:00.0"	"Completed"	"test3804589"	""	""	""	"nunc orci sed"	""	""	""
"0.428"	"2010-05-24 14:37:42.0"	""	""	""	"2008-07-02 07:00:00.0"	"Completed"	"test3804589"	""	""	""	"diam praesent"	""	""	""
"0.435"	"2010-05-24 14:37:42.0"	""	""	""	"2008-07-09 07:00:00.0"	"Completed"	"test3804589"	""	""	""	"condimentum faucibus"	""	""	""
"0.45"	"2010-05-24 14:37:42.0"	""	""	""	"2008-07-16 07:30:00.0"	"Completed"	"test3804589"	""	""	""	"amet tincidunt"	""	""	""
"0.434"	"2010-05-24 14:37:42.0"	""	""	""	"2008-07-23 07:15:00.0"	"Completed"	"test3804589"	""	""	""	"gravida ante eu"	""	""	""
"0.441"	"2010-05-24 14:37:42.0"	""	""	""	"2008-07-30 07:00:00.0"	"Completed"	"test3804589"	""	""	""	"scelerisque congue"	""	""	""
"0.422"	"2010-05-24 14:37:42.0"	""	""	""	"2008-08-06 07:00:00.0"	"Completed"	"test3804589"	""	""	""	"facilisis facilisi"	""	""	""
"0.419"	"2010-05-24 14:37:42.0"	""	""	""	"2008-08-13 07:00:00.0"	"Completed"	"test3804589"	""	""	""	"interdum interdum"	""	""	""
"0.443"	"2010-05-24 14:37:42.0"	""	""	""	"2008-10-10 08:45:00.0"	"Completed"	"test3804589"	""	""	""	"lobortis vestibulum"	""	""	""
"0.443"	"2010-05-24 14:37:42.0"	""	""	""	"2008-11-17 10:30:00.0"	"Completed"	"test3804589"	""	""	""	"curae; a tempor"	""	""	""
"0.438"	"2010-05-24 14:37:42.0"	""	""	""	"2009-01-26 09:00:00.0"	"Completed"	"test3804589"	""	""	""	"sit facilisi augue"	""	""	""
"0.426"	"2010-05-24 14:37:42.0"	""	""	""	"2009-03-30 08:00:00.0"	"Completed"	"test3804589"	""	""	""	"ante lacus et"	""	""	""
"0.435"	"2010-05-24 14:37:42.0"	""	""	""	"2009-05-18 08:47:00.0"	"Completed"	"test3804589"	""	""	""	"aliquet nisi metus"	""	""	""
"0.422"	"2010-05-24 14:37:42.0"	""	""	""	"2009-07-02 06:40:00.0"	"Completed"	"test3804589"	""	""	""	"aliquet morbi"	""	""	""
"0.446"	"2010-05-24 14:37:42.0"	""	""	""	"2009-07-07 13:15:00.0"	"Completed"	"test3804589"	""	""	""	"ligula turpis"	""	""	""
"0.427"	"2010-05-24 14:37:42.0"	""	""	""	"2009-07-14 11:10:00.0"	"Completed"	"test3804589"	""	""	""	"enim  nisi et"	""	""	""
"0.421"	"2010-05-24 14:37:42.0"	""	""	""	"2009-07-23 10:50:00.0"	"Completed"	"test3804589"	""	""	""	"mi cursus proin"	""	""	""
"0.419"	"2010-05-24 14:37:42.0"	""	""	""	"2009-07-31 09:45:00.0"	"Completed"	"test3804589"	""	""	""	"molestie ad consectetur"	""	""	""
"0.429"	"2010-05-24 14:37:42.0"	""	""	""	"2009-08-06 09:50:00.0"	"Completed"	"test3804589"	""	""	""	"erat turpis vivamus"	""	""	""
"0.439"	"2010-05-24 14:37:42.0"	""	""	""	"2009-08-13 10:45:00.0"	"Completed"	"test3804589"	""	""	""	"tortor sodales"	""	""	""
"0.429"	"2010-05-24 14:37:42.0"	""	""	""	"2009-08-21 10:50:00.0"	"Completed"	"test3804589"	""	""	""	"nunc fusce urna"	""	""	""
"0.419"	"2010-05-24 14:37:42.0"	""	""	""	"2009-08-28 10:00:00.0"	"Completed"	"test3804589"	""	""	""	"in fringilla vehicula"	""	""	""
"0.419"	"2010-05-24 14:37:42.0"	""	""	""	"2009-09-03 06:35:00.0"	"Completed"	"test3804589"	""	""	""	"nostra sed  est"	""	""	""
"0.424"	"2010-05-24 14:37:42.0"	""	""	""	"2009-09-10 09:17:00.0"	"Completed"	"test3804589"	""	""	""	"vestibulum id"	""	""	""
"0.419"	"2010-05-24 14:37:42.0"	""	""	""	"2009-09-18 10:40:00.0"	"Completed"	"test3804589"	""	""	""	"arcu lacinia velit"	""	""	""
"0.429"	"2010-05-24 14:37:42.0"	""	""	""	"2009-09-24 10:10:00.0"	"Completed"	"test3804589"	""	""	""	"leo morbi convallis"	""	""	""
"0.439"	"2010-05-24 14:37:42.0"	""	""	""	"2009-10-02 08:15:00.0"	"Completed"	"test3804589"	""	""	""	"sed class curabitur"	""	""	""
"0.431"	"2010-05-24 14:37:42.0"	""	""	""	"2009-10-08 09:10:00.0"	"Completed"	"test3804589"	""	""	""	"mauris quis laoreet"	""	""	""
"0.43"	"2010-05-24 14:37:42.0"	""	""	""	"2009-11-16 10:15:00.0"	"Completed"	"test3804589"	""	""	""	"feugiat imperdiet"	""	""	""
"0.432"	"2010-05-24 14:37:42.0"	""	""	""	"2010-01-29 13:30:00.0"	"Completed"	"test3804589"	""	""	""	"urna congue vulputate"	""	""	""
"0.443"	"2010-05-24 14:37:42.0"	""	""	""	"2010-03-22 09:00:00.0"	"Completed"	"test3804589"	""	""	""	"volutpat pellentesque"	""	""	""
"0.422"	"2010-05-24 14:37:42.0"	""	""	""	"2010-05-17 10:00:00.0"	"Completed"	"test3804589"	""	""	""	"donec volutpat"	""	""	""
"0.429"	"2010-07-26 13:14:51.0"	""	""	""	"2010-07-26 09:15:00.0"	"Completed"	"test3804589"	""	""	""	"sed aptent et"	""	""	""
"0.414"	"2010-08-23 14:02:12.0"	""	""	""	"2010-08-23 09:30:00.0"	"Completed"	"test3804589"	""	""	""	"turpis condimentum"	""	""	""
"0.432"	"2010-09-20 13:45:56.0"	""	""	""	"2010-09-20 09:30:00.0"	"Completed"	"test3804589"	""	""	""	"aliquam accumsan"	""	""	""
"0.436"	"2010-10-18 16:25:26.0"	""	""	""	"2010-10-18 11:00:00.0"	"Completed"	"test3804589"	""	""	""	"ac sed urna consectetur"	""	""	""
"0.432"	"2010-10-28 11:10:07.0"	""	""	""	"2010-10-28 09:45:00.0"	"Completed"	"test3804589"	""	""	""	"blandit semper"	""	""	""
"0.428"	"2010-11-29 14:05:29.0"	""	""	""	"2010-11-29 11:30:00.0"	"Completed"	"test3804589"	""	""	""	"porttitor posuere"	""	""	""
"0.434"	"2011-01-10 13:25:56.0"	""	""	""	"2011-01-10 09:25:00.0"	"Completed"	"test3804589"	""	""	""	"justo ultrices"	""	""	""
"0.403"	"2011-02-07 16:57:06.0"	""	""	""	"2011-02-07 09:20:00.0"	"Completed"	"test3804589"	""	""	""	"volutpat iaculis"	""	""	""
"0.438"	"2011-03-07 12:12:18.0"	""	""	""	"2011-03-07 09:05:00.0"	"Completed"	"test3804589"	""	""	""	"nec interdum vestibulum"	""	""	""
"0.427"	"2011-03-10 10:36:13.0"	""	""	""	"2011-03-08 10:50:00.0"	"Completed"	"test3804589"	""	""	""	"eget ut orci tincidunt"	""	""	""
"0.435"	"2011-04-06 14:06:16.0"	""	""	""	"2011-04-06 09:30:00.0"	"Completed"	"test3804589"	""	""	""	"sollicitudin tincidunt"	""	""	""
"0.439"	"2011-05-02 10:29:28.0"	""	""	""	"2011-05-02 08:20:00.0"	"Completed"	"test3804589"	""	""	""	"sed etiam purus"	""	""	""
"0.435"	"2011-05-09 11:43:25.0"	""	""	""	"2011-05-09 10:00:00.0"	"Completed"	"test3804589"	""	""	""	"interdum pharetra"	""	""	""
"0.449"	"2011-06-13 14:55:52.0"	""	""	""	"2011-06-13 09:00:00.0"	"Completed"	"test3804589"	""	""	""	"luctus velit sem"	""	""	""
"0.451"	""	""	"ea9a8b24-8df1-102e-95b6-f528764d1486"	""	"2011-07-11 09:07:00.0"	"Completed"	"test3804589"	""	""	""	"quis lacinia magna"	""	""	""
"0.463"	""	""	"b56e69bc-a3ef-102e-877d-f528764d9dfa"	""	"2011-08-08 09:27:00.0"	"Completed"	"test3804589"	""	""	""	"integer luctus"	""	""	""
"2.72"	"2010-05-24 14:37:42.0"	""	""	""	"2005-06-30 00:00:00.0"	"Completed"	"test4551032"	""	""	""	"tempor urna urna"	""	""	""
"2.9"	"2010-05-24 14:37:42.0"	""	""	""	"2005-07-21 00:00:00.0"	"Completed"	"test4551032"	""	""	""	"luctus lacinia"	""	""	""
"3.15"	"2010-05-24 14:37:42.0"	""	""	""	"2005-08-04 00:00:00.0"	"Completed"	"test4551032"	""	""	""	"vivamus elementum"	""	""	""
"3.2"	"2010-05-24 14:37:42.0"	""	""	""	"2005-08-18 11:15:00.0"	"Completed"	"test4551032"	""	""	""	"a varius mauris"	""	""	""
"3.25"	"2010-05-24 14:37:42.0"	""	""	""	"2005-09-01 10:45:00.0"	"Completed"	"test4551032"	""	""	""	"turpis rutrum"	""	""	""
"3.33"	"2010-05-24 14:37:42.0"	""	""	""	"2005-09-15 13:00:00.0"	"Completed"	"test4551032"	""	""	""	"massa eu laoreet"	""	""	""
"3.37"	"2010-05-24 14:37:42.0"	""	""	""	"2005-09-29 10:00:00.0"	"Completed"	"test4551032"	""	""	""	"nec ut lacus"	""	""	""
"3.55"	"2010-05-24 14:37:42.0"	""	""	""	"2005-10-13 10:00:00.0"	"Completed"	"test4551032"	""	""	""	"tellus sollicitudin"	""	""	""
"3.75"	"2010-05-24 14:37:42.0"	""	""	""	"2005-11-23 11:30:00.0"	"Completed"	"test4551032"	""	""	""	"luctus lorem"	""	""	""
"3.96"	"2010-05-24 14:37:42.0"	""	""	""	"2005-12-07 13:10:00.0"	"Completed"	"test4551032"	""	""	""	"in accumsan at"	""	""	""
"3.81"	"2010-05-24 14:37:42.0"	""	""	""	"2005-12-21 10:50:00.0"	"Completed"	"test4551032"	""	""	""	"et sagittis arcu"	""	""	""
"3.79"	"2010-05-24 14:37:42.0"	""	""	""	"2005-12-28 00:00:00.0"	"Completed"	"test4551032"	""	""	""	"mollis volutpat"	""	""	""
"3.79"	"2010-05-24 14:37:42.0"	""	""	""	"2006-01-04 00:00:00.0"	"Completed"	"test4551032"	""	""	""	"semper ante faucibus"	""	""	""
"3.65"	"2010-05-24 14:37:42.0"	""	""	""	"2006-01-05 08:10:00.0"	"Completed"	"test4551032"	""	""	""	"malesuada lacus"	""	""	""
"3.87"	"2010-05-24 14:37:42.0"	""	""	""	"2006-01-11 00:00:00.0"	"Completed"	"test4551032"	""	""	""	"elit sociis accumsan"	""	""	""
"3.94"	"2010-05-24 14:37:42.0"	""	""	""	"2006-01-18 00:00:00.0"	"Completed"	"test4551032"	""	""	""	"aliquet curabitur"	""	""	""
"3.97"	"2010-05-24 14:37:42.0"	""	""	""	"2006-02-02 09:40:00.0"	"Completed"	"test4551032"	""	""	""	"morbi vestibulum"	""	""	""
"4.24"	"2010-05-24 14:37:42.0"	""	""	""	"2006-03-27 09:30:00.0"	"Completed"	"test4551032"	""	""	""	"sagittis elit"	""	""	""
"4.23"	"2010-05-24 14:37:42.0"	""	""	""	"2006-04-04 13:30:00.0"	"Completed"	"test4551032"	""	""	""	"sed cum ut consequat"	""	""	""
"4.37"	"2010-05-24 14:37:42.0"	""	""	""	"2006-04-11 08:30:00.0"	"Completed"	"test4551032"	""	""	""	"nunc velit eget"	""	""	""
"4.21"	"2010-05-24 14:37:42.0"	""	""	""	"2006-05-30 11:00:00.0"	"Completed"	"test4551032"	""	""	""	"turpis non libero"	""	""	""
"4.71"	"2010-05-24 14:37:42.0"	""	""	""	"2006-07-20 09:30:00.0"	"Completed"	"test4551032"	""	""	""	"turpis amet fusce"	""	""	""
"4.99"	"2010-05-24 14:37:42.0"	""	""	""	"2006-08-23 11:45:00.0"	"Completed"	"test4551032"	""	""	""	"amet aliquet"	""	""	""
"5.17"	"2010-05-24 14:37:42.0"	""	""	""	"2006-09-01 13:45:00.0"	"Completed"	"test4551032"	""	""	""	"auctor lobortis"	""	""	""
"5.152"	"2010-05-24 14:37:42.0"	""	""	""	"2006-09-22 10:30:00.0"	"Completed"	"test4551032"	""	""	""	"dolor mauris quis"	""	""	""
"5.22"	"2010-05-24 14:37:42.0"	""	""	""	"2006-11-17 09:30:00.0"	"Completed"	"test4551032"	""	""	""	"dolor laoreet"	""	""	""
"5.544"	"2010-05-24 14:37:42.0"	""	""	""	"2007-01-04 08:30:00.0"	"Completed"	"test4551032"	""	""	""	"laoreet neque"	""	""	""
"5.794"	"2010-05-24 14:37:42.0"	""	""	""	"2007-03-09 09:30:00.0"	"Completed"	"test4551032"	""	""	""	"sodales augue"	""	""	""
"5.84"	"2010-05-24 14:37:42.0"	""	""	""	"2007-03-15 10:50:00.0"	"Completed"	"test4551032"	""	""	""	"nullam nascetur"	""	""	""
"5.63"	"2010-05-24 14:37:42.0"	""	""	""	"2007-05-17 08:00:00.0"	"Completed"	"test4551032"	""	""	""	"ac etiam ut egestas"	""	""	""
"5.47"	"2010-05-24 14:37:42.0"	""	""	""	"2007-07-17 09:20:00.0"	"Completed"	"test4551032"	""	""	""	"id vitae eget"	""	""	""
"5.22"	"2010-05-24 14:37:42.0"	""	""	""	"2007-09-17 11:30:00.0"	"Completed"	"test4551032"	""	""	""	"et molestie molestie"	""	""	""
"5.28"	"2010-05-24 14:37:42.0"	""	""	""	"2007-11-29 13:30:00.0"	"Completed"	"test4551032"	""	""	""	"ac at cum non"	""	""	""
"5.27"	"2010-05-24 14:37:42.0"	""	""	""	"2008-01-18 09:15:00.0"	"Completed"	"test4551032"	""	""	""	"sed commodo nibh"	""	""	""
"5.57"	"2010-05-24 14:37:42.0"	""	""	""	"2008-03-12 11:30:00.0"	"Completed"	"test4551032"	""	""	""	"libero consectetur"	""	""	""
"5.6"	"2010-05-24 14:37:42.0"	""	""	""	"2008-05-21 11:30:00.0"	"Completed"	"test4551032"	""	""	""	"rhoncus lacus"	""	""	""
"5.48"	"2010-05-24 14:37:42.0"	""	""	""	"2008-07-17 08:50:00.0"	"Completed"	"test4551032"	""	""	""	"at maecenas pharetra"	""	""	""
"5.53"	"2010-05-24 14:37:42.0"	""	""	""	"2008-09-23 08:30:00.0"	"Completed"	"test4551032"	""	""	""	"elit purus consequat"	""	""	""
"5.46"	"2010-05-24 14:37:42.0"	""	""	""	"2008-09-29 09:55:00.0"	"Completed"	"test4551032"	""	""	""	"egestas venenatis"	""	""	""
"5.52"	"2010-05-24 14:37:42.0"	""	""	""	"2008-10-06 11:15:00.0"	"Completed"	"test4551032"	""	""	""	"quisque nisl"	""	""	""
"5.45"	"2010-05-24 14:37:42.0"	""	""	""	"2008-10-29 15:00:00.0"	"Completed"	"test4551032"	""	""	""	"tristique facilisis"	""	""	""
"5.51"	"2010-05-24 14:37:42.0"	""	""	""	"2008-11-10 11:00:00.0"	"Completed"	"test4551032"	""	""	""	"id nec neque"	""	""	""
"5.57"	"2010-05-24 14:37:42.0"	""	""	""	"2008-11-19 08:15:00.0"	"Completed"	"test4551032"	""	""	""	"turpis quis quis"	""	""	""
"5.64"	"2010-05-24 14:37:42.0"	""	""	""	"2009-01-05 09:00:00.0"	"Completed"	"test4551032"	""	""	""	"tempor elementum"	""	""	""
"6.07"	"2010-05-24 14:37:42.0"	""	""	""	"2009-03-05 14:00:00.0"	"Completed"	"test4551032"	""	""	""	"in iaculis id"	""	""	""
"6.09"	"2010-05-24 14:37:42.0"	""	""	""	"2009-05-05 09:20:00.0"	"Completed"	"test4551032"	""	""	""	"libero odio mollis"	""	""	""
"6.02"	"2010-05-24 14:37:42.0"	""	""	""	"2009-07-06 09:30:00.0"	"Completed"	"test4551032"	""	""	""	"lectus malesuada"	""	""	""
"6.08"	"2010-05-24 14:37:42.0"	""	""	""	"2009-07-28 09:50:00.0"	"Completed"	"test4551032"	""	""	""	"massa gravida"	""	""	""
"6.1"	"2010-05-24 14:37:42.0"	""	""	""	"2009-09-02 08:00:00.0"	"Completed"	"test4551032"	""	""	""	"ullamcorper"	""	""	""
"6.07"	"2010-05-24 14:37:42.0"	""	""	""	"2009-09-15 08:50:00.0"	"Completed"	"test4551032"	""	""	""	" quam pellentesque"	""	""	""
"6.02"	"2010-05-24 14:37:42.0"	""	""	""	"2009-12-02 08:30:00.0"	"Completed"	"test4551032"	""	""	""	"vel ut phasellus"	""	""	""
"6.03"	"2010-05-24 14:37:42.0"	""	""	""	"2009-12-11 09:40:00.0"	"Completed"	"test4551032"	""	""	""	"luctus magna"	""	""	""
"6.05"	"2010-05-24 14:37:42.0"	""	""	""	"2010-01-11 09:35:00.0"	"Completed"	"test4551032"	""	""	""	"egestas sollicitudin"	""	""	""
"6.06"	"2010-05-24 14:37:42.0"	""	""	""	"2010-02-08 11:00:00.0"	"Completed"	"test4551032"	""	""	""	"vel turpis commodo"	""	""	""
"6.1"	"2010-05-24 14:37:42.0"	""	""	""	"2010-03-08 11:30:00.0"	"Completed"	"test4551032"	""	""	""	"praesent risus"	""	""	""
"6.15"	"2010-05-24 14:37:42.0"	""	""	""	"2010-04-05 09:50:00.0"	"Completed"	"test4551032"	""	""	""	"ut accumsan vestibulum"	""	""	""
"6.0"	"2010-06-01 07:42:37.0"	""	""	""	"2010-05-30 09:15:00.0"	"Completed"	"test4551032"	""	""	""	"sed metus"	""	""	""
