"ts"	"remark"	"taskid"	"userid"	"parentId"	"date"	"QCStateLabel"	"Id"	"performedby"	"Description"	"so"	"a"	"project"	"category"	"p"	"account"	"enddate"	"requestid"
"2010-05-24 14:29:42.0"	"congue"	""	""	""	"2008-09-08 10:45:00.0"	"Completed"	"test6390238"	""	"sodales libero sed tempor quam lacinia scelerisque quam orci non nec malesuada condimentum euismod semper nulla vel curabitur curabitur tortor nulla neque ligula integer orci hendrerit id integer lorem congue purus molestie rhoncus euismod ut felis est quisque fringilla sit arcu quam in magnis sapien pretium mauris in odio integer turpis curabitur"	"gradual pair test between r01049, r06025, and r06028; test #1, 15 minutes; conclusion: inconclusive; shared food: NA; aggression: no; affiliation: yes; immediate good proximity, sharing same side, r01049 spinning on perch, r06025 grimacing, good contact, all shared perch briefly, r01049 ignored r06025 and r06028, r06028 flipping.  NG"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"lorem"	""	""	""	"2008-09-16 11:00:00.0"	"Completed"	"test6390238"	""	"vulputate magna eu faucibus sed id laoreet molestie a vestibulum lacinia vivamus odio et faucibus nunc viverra dapibus eu molestie sapien tincidunt scelerisque quis parturient scelerisque eros a id pellentesque varius quam adipiscing elit morbi nec nec dolor in quisque sapien malesuada ut nec donec ante non felis at justo amet orci pellentesque et donec sed eget pellentesque vehicula risus senectus ullamcorper orci consectetur sed nisi"	"gradual pair test between r01049, r06025, and r06028; test #2, 30 minutes; conclusion: inconclusive; shared food: yes; aggression: yes; affiliation: yes; r06028 flipping, r01049 pacing, r06025 approached r01049 and r01049 threatened r06025, all shared same side for majority of test, r06028 presented to r06025, good contact, all sharing perch, r06025 groom soliciting, r01049 bit r06028, bite did not result in any trauma.  NG/MR"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"scelerisque"	""	""	""	"2008-10-14 10:00:00.0"	"Completed"	"test6390238"	""	"hendrerit est pulvinar a bibendum elementum primis himenaeos nulla justo orci neque dapibus pellentesque pharetra proin mauris vivamus auctor nunc neque sed eleifend id fringilla dignissim euismod egestas fermentum ut id aliquam quis faucibus posuere est curabitur fusce vitae bibendum tincidunt id nec cras quam molestie eros nulla ullamcorper arcu dolor pellentesque eros quis nisi dolor eget leo vitae id pellentesque donec ultricies massa"	"gradual pair test between r01049, r06025 and r06028; test #3, 1 hour;  conclusion:  inconclusive;  aggression:  yes;  affiliation:  yes;   immediate close proximity followed by r01049 chasing r06025 and r06028, r01049 non injuriously  bit r06025, room dynamics a factor, r01049 pacing, avoiding pair, r06028 flipping, r06025 and r06028 fear grimacing when approached then fleeing to other side of cage, will try another test.  MR/NG"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"dolor"	""	""	""	"2008-10-16 09:55:00.0"	"Completed"	"test6390238"	""	"imperdiet magna mi euismod faucibus phasellus blandit mus donec lectus vitae vulputate mattis duis aliquam eget nulla magna metus eget orci id a scelerisque arcu fermentum litora quam eu posuere pharetra bibendum mollis sem urna blandit neque ac mollis lobortis scelerisque at sapien parturient aliquam nibh tellus orci sit auctor integer donec at leo malesuada sed penatibus sodales tincidunt mi non libero ut in aenean nec nulla a elit quam potenti vulputate nullam dignissim ut quam elit sed vestibulum pulvinar faucibus nisl nulla ut luctus auctor mi leo"	"gradual pair test between r01049, r06025, and r06028; test #4, 1 hour 5 minutes; conclusion: incompatible; shared food: NA; aggression: yes; affiliation: yes; r01049 pacing, r06025 and r06028 avoided r01049 for most of test, r06025 and r06028 got closer to r01049 as test progressed, r06025 briefly shared same side with r01049, r01049 ignored r06025 and r06028 for most of test, r01049 began fighting with neighbors resulting in attack on r06025 and r06028, resulted in small wound to r06028's forehead, test ended due to aggression from r01049.  NG"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"leo dignissim"	""	""	""	"2008-11-21 09:50:00.0"	"Completed"	"test6390238"	""	"nisl molestie magna nec erat condimentum maecenas sit porta sapien dolor interdum fringilla amet sit consectetur tempor pellentesque ut praesent dolor lacinia risus risus ligula sed magna faucibus dapibus sapien orci eget nec gravida luctus sodales vulputate vitae odio urna quis ultrices tortor sed nec et euismod a per tincidunt id magna"	"gradual pair test between r06028 and r05082;  test #1, 30 minutes;  conclusion:  inconclusive;  shared food:  yes;  aggression:  yes;  affiliation:  yes;  r05082 initially aggressive, chasing r06028, r06028 pacing, flipping, avoiding r05082, r06028 presenting, r05082 groom soliciting, shared food, animals eventually playing.  MR"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"interdum"	""	""	""	"2008-12-03 09:50:00.0"	"Completed"	"test6390238"	""	"imperdiet id vel vulputate id curae; rutrum a mi sed primis tristique ante id nulla gravida gravida id felis at lacus auctor ut placerat quam fermentum vestibulum diam sed id integer gravida rhoncus ut porta sit metus arcu porta congue turpis lectus nisi accumsan mi at diam donec senectus conubia ante ante libero sed sociis vivamus porta neque odio dui felis auctor ante non tortor lorem fermentum vel nibh morbi ante at aliquet at varius augue aliquet orci nibh condimentum est tempor a enim nulla condimentum posuere amet eget nec urna ac sit"	"gradual pair test between r05082 and r06028; test #2, 50 minutes; conclusion: successfully paired; shared food: yes; aggression: yes; affiliation: yes; r06028 presenting, good proximity, animals smelling each other, r05082 mounting r06028, r05082 grabbing and lightly biting r06028, r05082 briefly threatened r06028, r05082 briefly groomed r06028, animals shared same side for most of test, animals fighting with neighboring animals, animals moved within room in an attempt  to reduce aggression between new pair and neighboring animals.  NG"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	""	""	""	""	"2009-09-09 10:00:00.0"	"Completed"	"test6390238"	""	"amet mattis amet porta orci pharetra vel non congue ultrices fermentum euismod vehicula malesuada consectetur nunc mi tristique sed eget tincidunt sit pellentesque id quam nisi lacus purus ut auctor turpis amet a neque nec pulvinar amet leo sed mauris amet sodales tortor in elit suspendisse volutpat tortor pulvinar enim id nullam parturient et risus vestibulum"	"Animal reported by vet staff for multiple small traumas, possibly fighting with partner r06028."	"Animal assessed by behavioral staff. Animal and partner were both calm, animal has several scratches on his back and hesitant to take treats in front of partner."	"803932"	""	"No intervention at this time. Will re-evaluate if reports of fighting continue. NT"	""	""	""
"2010-05-24 14:29:42.0"	""	""	""	""	"2009-09-15 10:00:00.0"	"Completed"	"test6390238"	""	"dui sit feugiat pharetra in porta libero  est sem purus fusce et aliquet pellentesque faucibus augue porta at in sodales turpis magnis nibh hendrerit non nulla justo dictum laoreet scelerisque purus magna cursus tristique elementum nibh sed velit turpis interdum neque vestibulum rhoncus ultricies convallis purus lectus vestibulum nunc turpis vulputate nec odio nam ligula rutrum diam nulla vestibulum donec"	"Animal reported by vet staff for being nervous and leery of partner, r05082, suspected of fighting."	"Animal assessed by behavioral staff. Animal and partner were both calm, animal has several healing scratches on his back, no new wounds observed, animal moved away from partner to take treats, no aggression."	"803932"	""	"No intervention at this time. Will re-evaluate if reports of fighting continue. NT"	""	""	""
"2010-05-24 14:29:42.0"	"cubilia"	""	""	""	"2009-10-27 13:00:00.0"	"Completed"	"test6390238"	""	"sed vivamus eu nec dignissim eu consectetur eu enim a at velit felis enim a id eget class et mi amet pulvinar sapien est lobortis non euismod cubilia semper tincidunt molestie sit ridiculus nec eu vehicula sapien at mi venenatis porttitor sem neque egestas ac amet convallis sagittis fringilla egestas sit neque mauris nunc at eget sit quis nunc risus id aenean"	"re-pairing between r06028 and r05082; conclusion: successfully paired; shared food: yes; aggression: no; affiliation: yes; shared perch, maintained good proximity, r06028 seemed afraid and moved away from  r05082 when approached at first, r06028 fear grimacing and sitting in the middle of both cages where divider used to be, no aggression from r05082. NT"	""	"803932"	""	""	""	""	""
"2010-06-08 10:21:47.0"	""	""	""	""	"2010-06-08 09:00:00.0"	"Completed"	"test6390238"	""	"fringilla ipsum pulvinar risus vestibulum nam sagittis nulla vestibulum curabitur himenaeos sodales nulla purus congue a ut augue sed et at varius diam curabitur pulvinar non diam in nunc lacinia libero semper interdum adipiscing praesent vel nulla nec sed condimentum felis molestie nullam nunc ultrices id arcu bibendum pellentesque sem morbi ultrices at egestas dictum fusce suscipit tellus"	"Pair reported for incompatibility, r05082 being aggressive towards r06028."	"Pair previously reported for incompatibility.  Animal had wounds on L hip and R ear, current weight below normal weight range for his age, suspect partner, r05082 not allowing access to food, r05082 seen by ART being aggressive towards r06028."	"803932"	""	"Pair separated by ART as requested by behavioral staff. NT"	""	""	""
"2010-07-01 09:04:40.0"	"commodo"	""	""	""	"2010-06-29 11:00:00.0"	"Completed"	"test6390238"	""	"lorem sit nisl egestas et  ipsum at vitae rhoncus libero quam velit laoreet dignissim  eget congue vestibulum proin venenatis arcu dignissim blandit est et eget varius nec at egestas lacus non nisl class nulla luctus  elit tempus libero pretium eros diam sit risus eget sollicitudin venenatis porta ut euismod semper"	"gradual pair test between r05082 and rh07010; test #1, 30 minutes; conclusion: inconclusive; shared food: yes; aggression: yes; affiliation: yes; animals fought briefly causing minor finger trauma to r06028, shared perch and treats, r06028 chomping and yawning, attempted mounting r07049 who moved away. CA/NT"	""	"803932"	""	""	""	""	""
"2010-07-22 10:59:02.0"	"eu dignissim"	""	""	""	"2010-07-22 09:35:00.0"	"Completed"	"test6390238"	""	"metus condimentum sit erat placerat nec diam ut vivamus tellus ligula a ut sit mauris vestibulum tempor leo praesent odio sed nisi suspendisse lobortis ultrices duis ut libero enim maecenas et massa ornare quis sit gravida suscipit eget amet pulvinar eleifend ut dolor purus semper vel suspendisse"	"gradual pair test between r06028 and r07049; test #2, 45 minutes; conclusion: compatible; shared food: yes; aggression: no; affiliation: yes; shared perch after panel removal, r06028 grabbed and tried pulling r07049 towards him, r06028 presented, animals sat together several times. NT"	""	"803932"	""	""	""	""	""
"2010-08-04 10:19:12.0"	"metus"	""	""	""	"2010-07-28 09:45:00.0"	"Completed"	"test6390238"	""	"ut nunc eros dignissim mollis sit turpis mollis quis metus mattis eget praesent odio magna vehicula nisi ullamcorper neque congue eget ut massa in hendrerit in tristique iaculis in velit justo viverra nec lectus ante tempor ac  lacus amet ad laoreet vestibulum nunc venenatis nullam aenean euismod viverra vel sollicitudin"	"gradual pair test between r06028 and r07049; test #3, 1 hour; conclusion: successfully paired; shared food: yes; aggression: no; affiliation: yes; r07049 fear grimacing, moving away when approached, screamed at first while being mounted but calmed down shortly after, r07049 presented, shared perch briefly. NT"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"tortor"	""	""	""	"2010-05-04 10:00:00.0"	"Completed"	"test3997535"	""	"fermentum curabitur tincidunt sit enim sodales at pellentesque est orci praesent"	"Animal paired with new partner, r08010, for research project.  MR/TF"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	""	""	""	""	"2010-05-19 08:30:00.0"	"Completed"	"test3997535"	""	"elit id vel amet fusce lorem elit quam id pretium aliquet auctor facilisis eu non non fringilla tincidunt  blandit diam sodales volutpat ipsum aliquam porttitor mauris nec neque donec nostra tellus urna vitae purus et nibh dignissim mus ultrices aliquam magna gravida erat purus parturient tellus eleifend ultrices libero suspendisse a faucibus ultricies lorem nisi ultricies tincidunt curabitur molestie aliquam"	"Animal reported by care staff for fighting with partner, r08010, causing trauma to r08010.  Care staff separated at that time."	"Behavioral staff assessed animals after separation.  Pair has visual contact through a mesh panel.  r08010 would not come forward and take treats when offered, remained cowered in back corner while looking at r07011."	"803932"	""	"Pair will remain separated.  Investigator notified.  MR"	""	""	""
"2010-05-26 13:35:12.0"	"etiam"	""	""	""	"2010-05-26 11:30:00.0"	"Completed"	"test3997535"	""	"quis egestas et dolor eu tellus sem justo mauris id vel suspendisse lectus turpis massa platea odio vel urna duis tellus nam mauris imperdiet dolor lacinia bibendum tellus metus libero luctus posuere quis erat nullam sed phasellus etiam interdum pharetra enim mattis amet praesent suspendisse amet amet sed condimentum ante porttitor luctus sollicitudin sit porttitor ut id netus sem dictum neque ac vitae id  nullam nunc fermentum accumsan tellus"	"protected contact pair test between r08052 and r07011;  test #1, 15 minutes;  conclusion:  successfully paired;  shared food:  yes;  aggression:  yes;  affiliation:  yes;  r08052 initially smelling r07011, then began chasing him, r07011 presenting, pair takes treats in proximity, continued chasing by r08052, privacy panel inserted, r08052 afraid of panel,, much less aggressive toward r07011 with panel in, sharing foraging device.  MR"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"ligula"	""	""	""	"2009-05-14 10:30:00.0"	"Completed"	"test2008446"	""	"auctor laoreet facilisis turpis tincidunt congue  ut rhoncus sollicitudin velit proin eu justo luctus sed in sed at aliquam amet maecenas vel vitae a placerat turpis id velit auctor fames arcu pellentesque lacinia felis eu egestas sed lorem mi senectus tincidunt phasellus amet pretium orci primis faucibus elit mauris eleifend vehicula laoreet dapibus  magna sapien varius vitae ante suspendisse aliquet risus vestibulum at sed vulputate scelerisque eu non risus aliquam aliquet mattis interdum velit varius ut dapibus egestas natoque nulla adipiscing libero"	"gradual pair test  between r07021 and r03086; test #1, 30 minutes;  conclusion:  inconclusive;  aggression:  yes;  affiliation:  yes;  clear panel left in for first 10 minutes of test, r07021 presenting and fear grimacing at panel, r03086 threatened and bit wrist at r07021, r03086 saluting, panel pulled, good proximity, r03086 swatted at r07021 once, both animals moved to sit together at times, some avoidance by r07021, r03086 picking and licking at leg wound, animals placed in neutral location with mesh open for visibility of each other.  MR/NT"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"risus"	""	""	""	"2009-05-19 09:50:00.0"	"Completed"	"test2008446"	""	"senectus adipiscing sapien mauris hendrerit semper tortor auctor praesent varius nibh at porttitor pretium tempus lacinia sit urna sit est ante praesent interdum aliquam id vel turpis fermentum in molestie ullamcorper vitae neque purus ligula adipiscing sit magna sed urna laoreet faucibus orci ac duis fusce nunc tortor vehicula donec feugiat vel a a taciti ac sapien feugiat vestibulum ac laoreet lacus ornare nunc blandit arcu praesent felis amet consectetur arcu adipiscing morbi scelerisque arcu nulla"	"gradual pair test between r07021 and r03086;  test #2, 1 hour 10 minutes;  conclusion:  successfully paired;  shared food:  yes;  aggression:  yes;  affiliation:  yes;  r03086 wrist biting at animals in cage 6, threatened and chased r07021 in reaction to animals in cage 6, r07021 presenting, somewhat avoidant, foraged for chow on top of cage, sharing treats and chow, relocated pair in cage 5 and 6 in attempt to reduce aggressive behavior in r03086, r03086 appears more calm toward end of test.  MR"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"sed inceptos"	""	""	""	"2009-09-01 09:50:00.0"	"Completed"	"test2008446"	""	"venenatis rhoncus turpis nulla rhoncus eget et dapibus maecenas sed amet magna morbi  tristique scelerisque habitasse facilisis nisi pellentesque feugiat tellus pulvinar a velit lorem purus condimentum odio laoreet felis eu semper at lobortis"	"Animal's partner has history of SIB.  Animal and partner (03086) relocated within room, away from the door, in attempt to reduce SIB in 03086.  In addition to the relocation, animals were placed in a cage containing a privacy panel.  JS"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	""	""	""	""	"2010-01-04 12:00:00.0"	"Completed"	"test2008446"	""	"eget phasellus maecenas libero non nibh ut vestibulum sapien potenti nunc  ligula fermentum fermentum ac ligula vitae id habitant magna massa sit fusce morbi donec lobortis sit fusce pharetra enim mauris augue hendrerit vitae nec ut blandit ipsum nulla pharetra integer scelerisque dictum commodo eget odio sed commodo sit lacus pretium sed erat magna eget vel eget dapibus"	"Animal reported for potential SIB, oral manipulation of genitals and general nervousness."	"Oral manipulation of genitals observed, SIB not observed but wounds potentially indicative of SIB exist."	"803932"	""	"Animal will be separated from partner for one week to observe if changes in unwanted behaviors occur.  Decision to re-pair or not will be made at that time.  MR"	""	""	""
"2010-05-24 14:29:42.0"	""	""	""	""	"2010-01-11 08:00:00.0"	"Completed"	"test2008446"	""	"eu commodo leo amet ut maecenas ac praesent nulla auctor at fusce massa consequat lobortis nunc sem donec nam lacus commodo integer mollis mi interdum vel purus velit nisl lacus quis justo nam tristique ante porttitor purus dolor justo congue tempor velit lacus eu aliquet sollicitudin mattis porta laoreet vestibulum ut ut faucibus"	"Animal was separated from partner one week ago to determine if stress was causing undesirable behaviors."	"Animal appears calm.  Oral manipulation of genitals continues, small healing wounds still present."	"803932"	""	"Animal will remain separated from partner.  Plan to relocate and attempt to re-pair with different animal.  MR"	""	""	""
"2010-05-24 14:29:42.0"	""	""	""	""	"2010-01-15 15:00:00.0"	"Completed"	"test2008446"	""	"sit ac quis facilisis augue dis justo amet tristique nibh mus sit risus fringilla tincidunt magna turpis at sollicitudin scelerisque urna eu dui dui vel vitae gravida at pellentesque elementum diam augue a malesuada porttitor eget potenti convallis sollicitudin ligula eu ipsum sapien nostra commodo facilisi orci  eu felis luctus nulla eros pellentesque suspendisse mauris et"	"Animal reported by area supervisor for biting himself and sucking his penis."	"Animal assessed by behavioral staff. Animal bit both arms and sucked his penis. No wounds present."	"803932"	""	"Animal moved back from WIMR to Annex Building. Attempt to pair following week in order to reduce abnormal behaviors. Monitor if reports of SIB or any other abnormal behaviors continue. NT"	""	""	""
"2010-05-24 14:29:42.0"	"id justo"	""	""	""	"2010-01-19 11:40:00.0"	"Completed"	"test2008446"	""	"quam iaculis at congue dui vehicula sollicitudin ultricies mauris id sagittis massa ac eros amet nulla massa tellus augue vestibulum libero congue habitant libero in ac  magna hendrerit posuere ante vel nunc id himenaeos magna sit vel suscipit nec sem consequat porta venenatis eu ligula porta morbi consectetur commodo nibh"	"gradual pair test between r07021 and rh2057; test #1, 30 minutes; conclusion: compatible; shared food: no; aggression: no; affiliation: yes; r07021 immediately approached rh2057 upon panel removal, both maintained good proximity and shared perch, r07021 did not take treats in home cage nor in pair testing cage. NT"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"sed posuere"	""	""	""	"2010-01-20 13:00:00.0"	"Completed"	"test2008446"	""	"curabitur nisi at elit ridiculus neque feugiat risus pellentesque in praesent mauris pharetra vel sed vel risus ornare sapien ut id pellentesque sollicitudin posuere in dolor sem vel tortor blandit lacinia ipsum magna dui arcu eu ipsum fusce ut est laoreet placerat eget felis sed posuere"	"gradual pair test between r07021 and rh2057; test #2, 1 hour; conclusion: successfully paired; shared food: yes; aggression: no; affiliation: yes; animals maintained good proximity, shared perch and treats, no aggression observed, r07021 did not exhibit any abnormal behaviors. NT"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	""	""	""	""	"2010-02-15 13:00:00.0"	"Completed"	"test2008446"	""	"vel eu egestas urna ligula mauris praesent amet dui et eu interdum consectetur leo iaculis aliquet dui suspendisse curabitur velit ac nibh ante proin curabitur taciti parturient cras non diam mauris viverra nec pellentesque nulla dolor sem orci sit proin vitae scelerisque facilisi at bibendum placerat sodales dolor fringilla rhoncus quis proin suscipit aenean faucibus fringilla nam dignissim posuere nulla convallis pellentesque amet mauris etiam nec hendrerit"	"Animal previously reported for SIB and oral manipulation of genitals."	"Animal has been monitored regularly over the last 3 weeks by behavioral staff. No more reports of SIB or any other abnormal behaviors observed since paired with rh2057 and relocated.  Animal appears comfortable in new cage and with his new partner, calm, no wounds present."	"803932"	""	"No intervention at this time. Will re-evaluate if reports of SIB or other abnormal behaviors continue. NT"	""	""	""
"2010-05-24 14:29:42.0"	""	""	""	""	"2010-04-01 10:00:00.0"	"Completed"	"test2008446"	""	"gravida neque odio urna vel in nunc diam viverra porttitor at felis tristique euismod in vitae enim vitae suspendisse imperdiet mollis enim erat iaculis pretium justo sed amet pharetra neque ultricies elit"	"Animal previously reported for SIB."	"Animal assessed by behavioral staff. Animal did not exhibit SIB, sucking penis, no wounds present."	"803932"	""	"Continue to monitor. No intervention at this time. NT"	""	""	""
"2010-05-24 14:29:42.0"	""	""	""	""	"2010-05-10 14:00:00.0"	"Completed"	"test2008446"	""	"ac libero tincidunt leo et amet porttitor accumsan facilisi nulla lectus consequat nullam aenean lectus nunc leo elit odio nunc sollicitudin non a amet ut vel convallis non aliquet a amet ornare imperdiet"	"Animal previously reported for SIB."	"Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present, sucking penis."	"803932"	""	"Continue to monitor. No intervention at this time. NT"	""	""	""
"2010-08-25 09:44:55.0"	""	""	""	""	"2010-06-04 13:00:00.0"	"Completed"	"test2008446"	""	"nulla nulla vitae etiam a ipsum consequat nec eget egestas donec diam scelerisque in duis condimentum duis id a non imperdiet fermentum vel ultrices semper libero gravida magna tellus vitae donec ut morbi"	"Animal previously reported for SIB."	"Animal assessed by behavioral staff. Animal did not exhibit SIB, sucking penis, no wounds present."	"803932"	""	"Continue to monitor. No intervention at this time. NT"	""	""	""
"2010-07-23 09:39:52.0"	""	""	""	""	"2010-07-01 14:00:00.0"	"Completed"	"test2008446"	""	"lobortis laoreet tortor bibendum felis massa gravida sed in et scelerisque etiam vitae risus dictum pharetra eros sapien orci lacinia nunc orci nec non sapien ut feugiat dis tempor quam massa"	"Animal previously reported for SIB."	"Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present."	"803932"	""	"Continue to monitor. No intervention at this time. NT"	""	""	""
"2010-08-25 13:11:43.0"	""	""	""	""	"2010-08-06 14:00:00.0"	"Completed"	"test2008446"	""	"mattis odio tristique rutrum luctus orci purus odio libero curabitur vestibulum ut placerat malesuada luctus aliquam tristique nullam donec ultrices ut nec libero nibh etiam amet ullamcorper"	"Animal previously reported for SIB."	"Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present."	"803932"	""	"Continue to monitor. No intervention at this time. NT"	""	""	""
"2010-10-21 15:40:47.0"	""	""	""	""	"2010-10-13 14:00:00.0"	"Completed"	"test2008446"	""	"eget interdum class dictum dignissim magna dolor rutrum ac purus et nec nisi tortor at risus ante et dictumst sapien facilisi cursus interdum tincidunt blandit at turpis vulputate et nulla"	"Animal previously reported for SIB."	"Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present."	"803932"	""	"Continue to monitor. No intervention at this time. NT"	""	""	""
"2011-04-27 17:20:04.0"	""	""	""	""	"2010-10-29 14:30:00.0"	"Completed"	"test2008446"	""	"risus ultricies nec sed volutpat adipiscing tellus sit iaculis lacus nam tortor consequat sit euismod nec eleifend velit tristique faucibus pretium a et in integer urna pellentesque consectetur"	"Animal previously reported for SIB."	"Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present."	"803932"	""	"Continue to monitor. No intervention at this time. NT"	""	""	""
"2010-11-23 09:40:44.0"	""	""	""	""	"2010-11-16 11:00:00.0"	"Completed"	"test2008446"	""	"ligula id vitae tellus odio nec et vitae praesent ultricies tempus duis ullamcorper commodo feugiat tincidunt est sollicitudin nisl sollicitudin metus lacus eleifend risus facilisis a adipiscing vel a fusce dui augue metus lacinia potenti"	"Animal previously reported for SIB."	"Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. Sucking penis during behavioral assessments."	"803932"	""	"Continue to monitor. No intervention at this time. NT"	""	""	""
"2011-03-28 09:27:57.0"	""	""	""	""	"2011-01-31 10:00:00.0"	"Completed"	"test2008446"	""	"morbi tellus mi rhoncus libero sit erat donec vestibulum non orci a sit tempor quis scelerisque feugiat ut morbi natoque nunc vel dignissim a vitae commodo enim massa felis donec lorem auctor"	"Animal previously reported for SIB."	"Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present."	"803932"	""	"Continue to monitor. No intervention at this time. NT"	""	""	""
"2011-03-28 09:29:09.0"	""	""	""	""	"2011-02-25 10:00:00.0"	"Completed"	"test2008446"	""	"felis tristique luctus a aliquet urna tempor id pellentesque erat consectetur sed sem  sed lobortis fusce massa sagittis purus nisl malesuada libero accumsan vestibulum arcu at turpis eleifend"	"Animal previously reported for SIB."	"Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present."	"803932"	""	"Continue to monitor. No intervention at this time. NT"	""	""	""
